,phase,altitude,mach,P_out,power_rate,fc_eta,H2_flow,fc_air_flow,Q_req,weight,Area
0,FlightPhase.TAKEOFF,0.0,0.15,851029.6276508982,0.72,0.4612566540217634,0.015411695247723026,2.102415464704343,599356.6274303239,130.11946631636775,1.2719446551604512
1,FlightPhase.INITIAL_CLIMB,0.0,0.2,886489.1954696856,0.75,0.45355601462559786,0.016326417322079036,2.227199001110998,646636.3593108301,141.24972768361167,1.3583362990081764
2,FlightPhase.CLIMB,457.19999999999993,0.2640968746280604,1146526.0261407935,0.97,0.37396199769442845,0.02560971961425236,3.493598186202205,1204116.1453183491,257.79324500386775,2.2629319512471975
3,FlightPhase.CLIMB,1396.9999999999995,0.2795607852008961,1146526.0261407935,0.97,0.37396199769442845,0.02560971961425236,3.493598186202205,1204116.1453183491,247.43410502397646,2.1825256515042915
4,FlightPhase.CLIMB,2336.7999999999993,0.296303121959853,1146526.0261407935,0.97,0.37396199769442845,0.02560971961425236,3.493598186202205,1204116.1453183491,237.97388565418285,2.109096656842781
5,FlightPhase.CLIMB,3276.599999999999,0.31446184028721363,1146526.0261407935,0.97,0.37396199769442845,0.02560971961425236,3.493598186202205,1204116.1453183491,229.31398847642575,2.0418796591413186
6,FlightPhase.CLIMB,4216.399999999999,0.3341934298713386,1146526.0261407935,0.97,0.37396199769442845,0.02560971961425236,3.493598186202205,1204116.1453183491,221.37203122885046,1.9802352179779137
7,FlightPhase.CLIMB,5156.199999999998,0.3556759187155217,1170165.7380199851,0.99,0.3581367196170049,0.027292725280330804,3.7231885773093176,1323464.2023504486,234.94383757653762,2.085577817012497
8,FlightPhase.CLIMB,6095.999999999998,0.37911245148815126,1181985.5939595809,1.0,0.33821145419554255,0.029192564520834564,3.982358729293564,1469750.7945872906,252.33858825144443,2.2205936136360265
9,FlightPhase.CRUISE,6095.999999999998,0.45,1181985.5939595809,1.0,0.33821145419554255,0.029192564520834564,3.982358729293564,1469750.7945872906,257.3247525707367,2.259295573798998
