,mass,true_airspeed,altitude,ground_distance,fuel_mass,time,DISA,engine_setting,mach,equivalent_airspeed,CL,CD,drag,thrust_rate,EM_power_rate,TP_power_rate,thrust_is_regulated,psfc,thrust,TPshaft_power,thermo_power,TP_residual_thrust,shaft_power,power_rate,EMshaft_power,FC_power,FC_stack_power,H2_fc,BAT_ec,BAT_power,FC_efficiency,FC_airflow,V_cell,V_stack,V_pack,V_core,I_cell,I_stack,I_pack,I_core,slope_angle,acceleration,CT,TP_thermal_efficiency,TP_air_flow,name,ceiling,max_mach,delta_time,H2_mass
0,23553.0,60.0,10.668,0.0,0.42728829603039803,60.0,0.0,1,0.17633868880182274,59.969279456360205,1.7503365630965109,0.11884581208603671,15683.00299123008,1.0,0.75,1.0,False,9.90606799822497e-08,48188.290636151454,2156699.7930307067,2156699.7930307067,2564.3165871680776,3656699.7930307067,0.879712265764701,1500000.0,1772978.3909393714,0.0,0.032652834644158094,0.0,0.0,0.4535560146255977,2.227199001110999,0.568385030030651,170.36524796197241,1703.652479619724,1703.652479619724,0.7941792729307698,520.3462596242404,520.3462596242404,1040.6925192484807,0.14073013552005037,0.0,,,,,,,2.0,0.06530566928831619
1,23552.50740603468,60.04851781616262,27.4999283107546,118.81366162753179,0.8544051772538452,62.0,0.0,1,0.17651480326244834,59.969279456360205,1.7502999560728512,0.11884196806327446,15682.495730440485,1.0,0.75,1.0,False,9.899205323947127e-08,48165.97150912709,2157329.13524993,2157329.13524993,2564.146767672555,3657329.13524993,0.8797304750878376,1500000.0,1772978.3909393714,0.0,0.032652834644158094,0.0,0.0,0.4535560146255977,2.227199001110999,0.568385030030651,170.36524796197241,1703.652479619724,1703.652479619724,0.7941792729307698,520.3462596242404,520.3462596242404,1040.6925192484807,0.1406386434121892,0.0,,,,initial climb,,,2.0,0.13061133857663237
2,23552.01498348417,60.0971012116786,44.334588055172745,237.7249403144657,1.2813492179347685,64.0,0.0,1,0.17669118927537208,59.969279456360205,1.7502633617878494,0.11883812546015425,15681.98865698816,1.0,0.75,1.0,False,9.892363844324284e-08,48143.4464818831,2157947.5209349548,2157947.5209349548,2563.965752152986,3657947.5209349548,0.8797483620265678,1500000.0,1772978.3909393714,0.0,0.032652834644158094,0.0,0.0,0.4535560146255977,2.227199001110999,0.568385030030651,170.36524796197241,1703.652479619724,1703.652479619724,0.7941792729307698,520.3462596242404,520.3462596242404,1040.6925192484807,0.14054625417042654,0.0,,,,initial climb,,,2.0,0.19591700786494856
3,23551.5227337742,60.14574999848541,61.17187311796998,356.73398252513584,1.7081189983148781,66.0,0.0,1,0.1768678462726177,59.969279456360205,1.7502267803474583,0.11883428428771575,15681.481772329917,1.0,0.75,1.0,False,9.885543525891556e-08,48120.71603262028,2158554.960899937,2158554.960899937,2563.7735453607397,3658554.960899937,0.8797659271787532,1500000.0,1772978.3909393714,0.0,0.032652834644158094,0.0,0.0,0.4535560146255977,2.227199001110999,0.568385030030651,170.36524796197241,1703.652479619724,1703.652479619724,0.7941792729307698,520.3462596242404,520.3462596242404,1040.6925192484807,0.14045296979617497,0.0,,,,initial climb,,,2.0,0.26122267715326475
4,23551.030658324533,60.1944639870001,78.01167727021962,475.8409343274345,2.1347131046104053,68.0,0.0,1,0.17704477368021093,59.969279456360205,1.7501902118571868,0.1188304445569511,15680.97507791629,1.0,0.75,1.0,False,9.878744334610362e-08,48097.780645058396,2159151.466249344,2159151.466249344,2563.570152347086,3659151.466249344,0.8797831711450288,1500000.0,1772978.3909393714,0.0,0.032652834644158094,0.0,0.0,0.4535560146255977,2.227199001110999,0.568385030030651,170.36524796197241,1703.652479619724,1703.652479619724,0.7941792729307698,520.3462596242404,520.3462596242404,1040.6925192484807,0.1403587923150351,0.0,,,,initial climb,,,2.0,0.3265283464415809
5,23550.538758548948,60.24324298611928,94.85389417198752,595.0459413890626,2.5611301290092414,70.0,0.0,1,0.17722197091817365,59.969279456360205,1.750153656422101,0.11882660627880502,15680.46857519154,1.0,0.75,1.0,False,9.871966235871807e-08,48074.64080841339,2159737.0483772666,2159737.0483772666,2563.355578463105,3659737.0483772666,0.879800094528799,1500000.0,1772978.3909393714,0.0,0.032652834644158094,0.0,0.0,0.4535560146255977,2.227199001110999,0.568385030030651,170.36524796197241,1703.652479619724,1703.652479619724,0.7941792729307698,520.3462596242404,520.3462596242404,1040.6925192484807,0.14026372377669988,0.0,,,,initial climb,,,2.0,0.39183401572989707
6,23550.04703585526,60.292086803219405,111.69841737497497,714.3491489737812,2.987307166211663,72.0,0.0,1,0.1773994374005182,59.969279456360205,1.7501171141468215,0.11882276946417462,15679.962265593671,1.0,0.75,1.0,False,9.865209194500499e-08,48047.534966875064,2160000.0,2160311.7189667094,2562.929155820004,3660000.0,0.8798076923076923,1500000.0,1772978.3909393714,0.0,0.032652834644158094,0.0,0.0,0.4535560146255977,2.227199001110999,0.568385030030651,170.36524796197241,1703.652479619724,1703.652479619724,0.7941792729307698,520.3462596242404,520.3462596242404,1040.6925192484807,0.14015147658935356,0.0,,,,initial climb,,,2.0,0.4571396850182132
7,23549.55555314877,60.34098959413934,128.54319531157606,833.7509763493049,3.413193240903251,74.0,0.0,1,0.17757715200090693,59.969279456360205,1.7500805897061427,0.11881893460379336,15679.456213880327,1.0,0.75,1.0,False,9.858473951194167e-08,48017.19666696919,2160000.0,2160875.425532242,2562.3296505862495,3660000.0,0.8798076923076923,1500000.0,1772978.3909393714,0.0,0.032652834644158094,0.0,0.0,0.4535560146255977,2.227199001110999,0.568385030030651,170.36524796197241,1703.652479619724,1703.652479619724,0.7941792729307698,520.3462596242404,520.3462596242404,1040.6925192484807,0.14002522534518858,0.0,,,,initial climb,,,2.0,0.5224453543065294
8,23549.06436140479,60.389946570208565,145.38654902326368,953.2517777547478,3.8387893198933365,76.0,0.0,1,0.17775509741363912,59.969279456360205,1.7500440868882854,0.11881510209527078,15678.950472520428,1.0,0.75,1.0,False,9.851761087733461e-08,47986.805126080515,2160000.0,2161428.1330397096,2561.7264731364266,3660000.0,0.8798076923076923,1500000.0,1772978.3909393714,0.0,0.032652834644158094,0.0,0.0,0.4535560146255977,2.227199001110999,0.568385030030651,170.36524796197241,1703.652479619724,1703.652479619724,0.7941792729307698,520.3462596242404,520.3462596242404,1040.6925192484807,0.13989873521584084,0.0,,,,initial climb,,,2.0,0.5877510235948455
9,23548.573459656513,60.438957697263774,162.2284403279739,1072.8516660669486,4.264096366638723,78.0,0.0,1,0.17793327360605854,59.969279456360205,1.7500076056214025,0.11881127193091882,15678.445040499437,1.0,0.75,1.0,False,9.84507052651359e-08,47956.36029488816,2160000.0,2161969.8630540017,2561.1196135726955,3660000.0,0.8798076923076923,1500000.0,1772978.3909393714,0.0,0.032652834644158094,0.0,0.0,0.4535560146255977,2.227199001110999,0.568385030030651,170.36524796197241,1703.652479619724,1703.652479619724,0.7941792729307698,520.3462596242404,520.3462596242404,1040.6925192484807,0.13977200598760972,0.0,,,,initial climb,,,2.0,0.6530566928831617
10,23548.08284694048,60.48802294031581,179.06883089639786,1192.5507540986855,4.6891153412405995,80.0,0.0,1,0.17811168054242602,59.969279456360205,1.7499711458338942,0.11880744410307607,15677.939916806354,1.0,0.75,1.0,False,9.838402189858238e-08,47925.86212456667,2160000.0,2162500.6372218784,2560.5090620022856,3660000.0,0.8798076923076923,1500000.0,1772978.3909393714,0.0,0.032652834644158094,0.0,0.0,0.4535560146255977,2.227199001110999,0.568385030030651,170.36524796197241,1703.652479619724,1703.652479619724,0.7941792729307698,520.3462596242404,520.3462596242404,1040.6925192484807,0.13964503744888368,0.0,,,,initial climb,,,2.0,0.7183623621714779
