,TP_total_temperature,TP_total_pressure
3267,"[52389.991317815024, 52389.991317815024, 466.40008717118735, 648.6096076301375, 1403.9024081204295, 1239.564944764568, 1050.5929725272213, 806.6332628715554, 806.6332628715554]","[52389.991317815024, 52389.991317815024, 308354.25285747537, 813075.2117638829, 756159.9469404111, 416763.5069624196, 188862.80158424441, 54889.10313607622, 54889.10313607622]"
3268,"[52394.61416882525, 52394.61416882525, 466.40656771443037, 648.6160885603206, 1403.9024111017563, 1239.5649218317435, 1050.5929197799123, 806.6279970554516, 806.6279970554516]","[52394.61416882525, 52394.61416882525, 308371.08085137873, 813110.2544742583, 756192.5366610603, 416781.4279108082, 188870.8940822111, 54889.792211770524, 54889.792211770524]"
3269,"[52399.231469560065, 52399.231469560065, 466.4130400735149, 648.6225613094822, 1403.902414107253, 1239.5648989527767, 1050.5928671204715, 806.622738203422, 806.622738203422]","[52399.231469560065, 52399.231469560065, 308387.888228031, 813145.2539292234, 756225.0861541778, 416799.3267362586, 188878.97658869124, 54890.48047547287, 54890.48047547287]"
3270,"[52403.84322031755, 52403.84322031755, 466.41950424414745, 648.6290258678963, 1403.9024170950638, 1239.5648760903698, 1050.5928145170633, 806.617486295258, 806.617486295258]","[52403.84322031755, 52403.84322031755, 308404.6749778124, 813180.2100921578, 756257.5953857069, 416817.20341946365, 188887.0490947524, 54891.167926328584, 54891.167926328584]"
3271,"[52408.449421424695, 52408.449421424695, 466.4259602300619, 648.6354822408177, 1403.902420076906, 1239.5648532549542, 1050.5927619785782, 806.612241333138, 806.612241333138]","[52408.449421424695, 52408.449421424695, 308421.44110692025, 813215.1229822126, 756290.0643734577, 416835.05797039083, 188895.11160496323, 54891.854564579764, 54891.854564579764]"
3272,"[52413.05007323732, 52413.05007323732, 466.43240803652503, 648.6419304363349, 1403.9024230745204, 1239.5648304658907, 1050.5927095215266, 806.6070033234054, 806.6070033234054]","[52413.05007323732, 52413.05007323732, 308438.18662459543, 813249.9926291471, 756322.4931451068, 416852.8904045733, 188903.16412645878, 54892.54039067719, 54892.54039067719]"
3273,"[52417.64517614011, 52417.64517614011, 466.4388476613572, 648.648370448576, 1403.9024260594595, 1239.5648076978277, 1050.5926571242655, 806.6017722513736, 806.6017722513736]","[52417.64517614011, 52417.64517614011, 308454.91152545833, 813284.8190108798, 756354.8816801183, 416870.70071032824, 188911.2066538198, 54893.22540405244, 54893.22540405244]"
3274,"[52422.23473054614, 52422.23473054614, 466.4452791080306, 648.6548022822071, 1403.902429040922, 1239.5647849589513, 1050.5926047937692, 806.5965481180802, 806.5965481180802]","[52422.23473054614, 52422.23473054614, 308471.6158152743, 813319.6021445825, 756387.2299944618, 416888.4888965743, 188919.23919112806, 54893.90960490913, 54893.90960490913]"
3275,"[52426.81873689715, 52426.81873689715, 466.4517023753163, 648.6612259330694, 1403.902431996334, 1239.564762229142, 1050.5925525128594, 806.5913309112382, 806.5913309112382]","[52426.81873689715, 52426.81873689715, 308488.29949058825, 813354.3420146797, 756419.5380736522, 416906.2549550384, 188927.26173453534, 54894.592992806945, 54894.592992806945]"
3276,"[52431.39719566321, 52431.39719566321, 466.45811747448886, 648.6676414203567, 1403.9024349867107, 1239.5647395627511, 1050.5925003279021, 806.58612065351, 806.58612065351]","[52431.39719566321, 52431.39719566321, 308504.96257257235, 813389.0386925136, 756451.8059840377, 416923.9989230722, 188935.2743012356, 54895.27556901531, 54895.27556901531]"
3277,"[52435.970107342524, 52435.970107342524, 466.46452439828664, 648.6740487285617, 1403.9024379485227, 1239.56471690317, 1050.5924481905827, 806.580917315414, 806.580917315414]","[52435.970107342524, 52435.970107342524, 308521.60504595516, 813423.6921204377, 756484.0336720072, 416941.72077030985, 188943.2768771883, 54895.95733226684, 54895.95733226684]"
3278,"[52440.53747246151, 52440.53747246151, 466.4709231556876, 648.6804478725188, 1403.90244092689, 1239.564694290588, 1050.5923961351828, 806.5757209129048, 806.5757209129048]","[52440.53747246151, 52440.53747246151, 308538.22692744597, 813458.3023537212, 756516.2211889608, 416959.42052565963, 188951.26947569122, 54896.63828351514, 54896.63828351514]"
3279,"[52445.099291574465, 52445.099291574465, 466.4773137401323, 648.6868388379696, 1403.902443862497, 1239.564671672151, 1050.5923441165908, 806.5705314182059, 806.5705314182059]","[52445.099291574465, 52445.099291574465, 308554.82820320723, 813492.8693394948, 756548.3684857303, 416977.0981612589, 188959.25208385612, 54897.318421586766, 54897.318421586766]"
3280,"[52449.65556526386, 52449.65556526386, 466.4836961654032, 648.6932216486703, 1403.9024468321857, 1239.5646491163097, 1050.5922921932029, 806.5653488604909, 806.5653488604909]","[52449.65556526386, 52449.65556526386, 308571.4088994574, 813527.3931663507, 756580.4756447062, 416994.75372350327, 188967.22472304452, 54897.99774809153, 54897.99774809153]"
3281,"[52454.20629413979, 52454.20629413979, 466.4900704268829, 648.6995962939311, 1403.9024497891735, 1239.5646265813755, 1050.592240329435, 806.5601732171722, 806.5601732171722]","[52454.20629413979, 52454.20629413979, 308587.96900623466, 813561.8737948296, 756612.5426291915, 417012.38719156367, 188975.1873836107, 54898.676262120025, 54898.676262120025]"
3282,"[52458.75147884008, 52458.75147884008, 466.4964365288349, 648.7059627796411, 1403.902452745983, 1239.5646040784954, 1050.5921885347864, 806.5550044904517, 806.5550044904517]","[52458.75147884008, 52458.75147884008, 308604.5085310794, 813596.311247202, 756644.5694598979, 417029.9985770147, 188983.1400708531, 54899.35396397763, 54899.35396397763]"
3283,"[52463.29112003008, 52463.29112003008, 466.50279447194777, 648.7123211049715, 1403.9024556909228, 1239.5645815972437, 1050.5921368003483, 806.5498426723707, 806.5498426723707]","[52463.29112003008, 52463.29112003008, 308621.02747452335, 813630.7055208175, 756676.5561343604, 417047.58787834476, 188991.08278403347, 54900.030853479344, 54900.030853479344]"
3284,"[52467.825218402424, 52467.825218402424, 466.5091442620486, 648.7186712786731, 1403.9024586465207, 1239.5645591576813, 1050.5920851432259, 806.5446877692635, 806.5446877692635]","[52467.825218402424, 52467.825218402424, 308637.5258472382, 813665.0566487296, 756708.5026833186, 417065.1551127832, 188999.0155310569, 54900.70693114314, 54900.70693114314]"
