,mass,true_airspeed,altitude,ground_distance,alpha,time,engine_setting,mach,equivalent_airspeed,thrust_rate,thrust_is_regulated,psfc,thrust,TPshaft_power,TP_power_rate,thermo_power,TP_thermal_efficiency,TP_residual_thrust,TP_air_flow,CT,CL,CD,drag,slope_angle,acceleration,name,delta_time,fuel_mass,max_mach
773,22108.16838917441,25.339136844862324,0.0,101.33371631182821,-0.017453292519943295,7.72999999999988,1,0.07446220832827435,25.339136844862324,1.0,False,9.190549305996455e-08,67180.33400044728,3598830.0308762346,0.9988845263906851,4182337.850362116,0.2683089199667641,2972.454957560417,7.524147939785888,0.3017962692195599,0.8462812267275118,0.0729192601795517,1717.9620615961169,0.0,2.925133972187319,take off,0.009999999999999787,2.563080590536568,
774,22108.165081651925,25.368388184584198,0.0,101.58710768027683,-0.017453292519943295,7.739999999999879,1,0.07454816703182399,25.368388184584198,1.0,False,9.190531426829574e-08,67164.2203110868,3598830.4725026297,0.9988846489676807,4182368.9231225476,0.2683073756240858,2972.0189176440863,7.524162542026005,0.30172388119998966,0.8462812267275118,0.0729192601795517,1721.9307601272574,0.0,2.924234439582225,take off,0.009999999999999787,2.5663881069923047,
775,22108.161774135468,25.39763052898002,0.0,101.84079156212267,-0.017453292519943295,7.749999999999879,1,0.07463409930148812,25.39763052898002,1.0,False,9.190513534643087e-08,67148.11160618329,3598830.911517302,0.9988847708197712,4182400.0222773706,0.26830583230484384,2971.5830126074557,7.524177154539747,0.301651515572248,0.8462812267275118,0.0729192601795517,1725.9028148962586,0.0,2.9233349873839063,take off,0.009999999999999787,2.5696956174124237,
776,22108.15846662505,25.426863878853858,0.0,102.09476786741247,-0.017453292519943295,7.759999999999879,1,0.07472000513962958,25.426863878853858,1.0,False,9.190495626792544e-08,67132.00788526033,3598831.3516339078,0.9988848929777124,4182431.147794673,0.26830429008512374,2971.147245281995,7.524191779947167,0.3015791723341946,0.8462812267275118,0.0729192601795517,1729.8782217896323,0.0,2.9224356157482743,take off,0.009999999999999787,2.5730031217922993,
777,22108.15515912067,25.45608823501134,0.0,102.34903650620102,-0.017453292519943295,7.769999999999879,1,0.07480588454861581,25.45608823501134,1.0,False,9.190477702570438e-08,67115.90914784068,3598831.7938645915,0.9988850157224332,4182462.299642559,0.26830274898521755,2970.7116164265235,7.5242064189516915,0.3015068514836855,0.8462812267275118,0.0729192601795517,1733.8569766959045,0.0,2.921536324831117,take off,0.009999999999999787,2.576310620127981,
778,22108.151851622333,25.48530359825965,0.0,102.60359738855114,-0.017453292519943295,7.779999999999879,1,0.07489173753081883,25.48530359825965,1.0,False,9.190459762479222e-08,67099.81539344626,3598832.2375337067,0.9988851388664023,4182493.477789157,0.26830120899056153,2970.276125505191,7.5242210710592525,0.30143455301857314,0.8462812267275118,0.0729192601795517,1737.8390755056178,0.0,2.9206371147880996,take off,0.009999999999999787,2.579618112415077,
779,22108.148544130047,25.514509969407534,0.0,102.85845042453373,-0.017453292519943295,7.789999999999878,1,0.07497756408861524,25.514509969407534,1.0,False,9.190441808472975e-08,67083.72662159818,3598832.6799409213,0.9988852616601206,4182524.682202603,0.26829967004477284,2969.840770429494,7.524235734339347,0.30136227693670603,0.8462812267275118,0.0729192601795517,1741.8245141113289,0.0,2.919737985774764,take off,0.009999999999999787,2.58292559864742,
780,22108.145236643813,25.543707349265283,0.0,103.1135955242278,-0.017453292519943295,7.799999999999878,1,0.07506336422438617,25.543707349265283,1.0,False,9.190423840448686e-08,67067.64283181666,3598833.1212550984,0.9988853841504574,4182555.9128510365,0.268298132150727,2969.4055513116614,7.524250408897101,0.3012900232359289,0.8462812267275118,0.0729192601795517,1745.8132884076115,0.0,2.918838937946521,take off,0.009999999999999787,2.586233078818958,
781,22108.14192916364,25.57289573864475,0.0,103.36903259772046,-0.017453292519943295,7.809999999999878,1,0.07514913794051736,25.57289573864475,1.0,False,9.190405857214746e-08,67051.56402362112,3598833.5631634807,0.9988855068057207,4182587.169702628,0.26829659534266137,2968.9704694282213,7.524265095914916,0.3012177919140829,0.8462812267275118,0.0729192601795517,1749.8053942910558,0.0,2.9179399714586634,take off,0.009999999999999787,2.589540552924762,
782,22108.138621689537,25.602075138359336,0.0,103.62476155510691,-0.017453292519943295,7.819999999999878,1,0.0752348852393991,25.602075138359336,1.0,False,9.190387857700958e-08,67035.49019653018,3598834.0071840286,0.9988856300472329,4182618.4527255767,0.26829505965131745,2968.535525925618,7.524279796455111,0.3011455829690054,0.8462812267275118,0.0729192601795517,1753.80082766027,0.0,2.9170410864663574,take off,0.009999999999999787,2.5928480209609126,
