,mass,true_airspeed,altitude,ground_distance,alpha,time,engine_setting,mach,equivalent_airspeed,thrust_rate,thrust_is_regulated,psfc,thrust,TPshaft_power,TP_power_rate,thermo_power,TP_thermal_efficiency,TP_residual_thrust,TP_air_flow,CT,CL,CD,drag,slope_angle,acceleration,name,delta_time,fuel_mass,max_mach
1629,21703.74357382826,47.868441686596974,0.0,422.7193262637164,-0.017453292519943295,16.289999999999747,1,0.14066737549270308,47.868441686596974,1.0,False,9.17065949268121e-08,54777.78027063627,3599299.2374403654,0.9990147584862745,4216961.366060159,0.2672988303363849,2637.2925094977672,7.54039583073639,0.24607989775246983,0.8462812267275118,0.0729192601795517,6130.9604466956525,0.0,2.2150811802517025,take off,0.010000000000001563,5.391493177134105,
1630,21703.740273033487,47.89059249839949,0.0,423.1980106805824,-0.017453292519943295,16.29999999999975,1,0.14073246841094958,47.89059249839949,1.0,False,9.17063389925382e-08,54765.59365810841,3599299.815249742,0.9990149188619635,4217005.987435515,0.267298012920422,2636.9634156097864,7.540416742631909,0.24602515146026907,0.8462812267275118,0.0729192601795517,6136.635884117629,0.0,2.2142707147276783,take off,0.010000000000001563,5.3947939632240365,
1631,21703.736972247396,47.91273520554677,0.0,423.6769166055664,-0.017453292519943295,16.30999999999975,1,0.14079753751265764,47.91273520554677,1.0,False,9.170608306087833e-08,54753.41151845328,3599300.3891654783,0.9990150781569409,4217050.6133558145,0.26729719606597596,2636.634439682138,7.54043765382802,0.2459704252616913,0.8462812267275118,0.0729192601795517,6142.311869204379,0.0,2.2134604309646684,take off,0.010000000000001563,5.398094740628536,
1632,21703.733671469992,47.934869809856416,0.0,424.1560439576219,-0.017453292519943295,16.31999999999975,1,0.14086258280316852,47.934869809856416,1.0,False,9.170582707166421e-08,54741.23385065291,3599300.967648243,0.9990152387195341,4217095.243802117,0.2672963799484372,2636.3055879155054,7.540458570325387,0.24591571915216345,0.8462812267275118,0.0729192601795517,6147.988399541125,0.0,2.2126503290219532,take off,0.010000000000001563,5.401395509349716,
1633,21703.730370701272,47.95699631314663,0.0,424.63539265572047,-0.017453292519943295,16.329999999999753,1,0.14092760428782522,47.95699631314663,1.0,False,9.170557106774403e-08,54729.06065368907,3599301.544698543,0.9990153988845352,4217139.878755549,0.2672955644426789,2635.9768558641067,7.540479487854061,0.24586103312711127,0.8462812267275118,0.0729192601795517,6153.665472715154,0.0,2.21184040895871,take off,0.010000000000001563,5.404696269385733,
1634,21703.727069941237,47.97911471723622,0.0,425.1149626188519,-0.017453292519943295,16.339999999999755,1,0.14099260197197253,47.97911471723622,1.0,False,9.170531502293079e-08,54716.89192654321,3599302.124007245,0.999015559676374,4217184.518197212,0.2672947496249645,2635.6482462165554,7.540500409026889,0.24580636718195914,0.8462812267275118,0.0729192601795517,6159.3430863158255,0.0,2.2110306708340124,take off,0.010000000000001563,5.407997020737181,
1635,21703.723769189884,48.00122502394456,0.0,425.59475376602427,-0.017453292519943295,16.349999999999756,1,0.14105757586095694,48.00122502394456,1.0,False,9.170505896910103e-08,54704.727668196465,3599302.701114706,0.9990157198572407,4217229.162108238,0.26729393540216984,2635.3197556611312,7.540521330667609,0.2457517213121299,0.8462812267275118,0.0729192601795517,6165.02123793456,0.0,2.210221114706827,take off,0.010000000000001563,5.411297763401715,
1636,21703.72046844722,48.023327235091635,0.0,426.0747660162637,-0.017453292519943295,16.359999999999758,1,0.14112252596012664,48.023327235091635,1.0,False,9.170480291402265e-08,54692.56787762966,3599303.27494547,0.9990158791286332,4217273.810469784,0.2672931217515,2634.991383377782,7.540542252003682,0.24569709551304522,0.8462812267275118,0.0729192601795517,6170.699925164845,0.0,2.2094117406360154,take off,0.010000000000001563,5.414598497376283,
1637,21703.717167713246,48.045421352497996,0.0,426.5549992886146,-0.017453292519943295,16.36999999999976,1,0.14118745227483162,48.045421352497996,1.0,False,9.170454678880788e-08,54680.412553823306,3599303.855184541,0.9990160401787036,4217318.463262996,0.2672923088737963,2634.6631364670484,7.540563179905491,0.24564248978012507,0.8462812267275118,0.0729192601795517,6176.379145602229,0.0,2.2086025486803336,take off,0.010000000000001563,5.417899222664233,
1638,21703.713866987957,48.067507377984796,0.0,427.0354535021396,-0.017453292519943295,16.37999999999976,1,0.1412523548104235,48.067507377984796,1.0,False,9.170429065489401e-08,54668.26169575762,3599304.433222634,0.9990162006178746,4217363.120469069,0.26729149658969176,2634.335008562918,7.5405841082494,0.24558790410878834,0.8462812267275118,0.0729192601795517,6182.058896844332,0.0,2.2077935388984367,take off,0.010000000000001563,5.42119993926323,
