,TP_total_temperature,TP_total_pressure
502,"[101510.04333689221, 101510.04333689221, 500.2855212257438, 684.7803347439457, 1421.5103158799323, 1255.1279773607598, 1065.684902330851, 857.6503795205002, 857.6503795205002]","[101510.04333689221, 101510.04333689221, 523170.7083832529, 1316629.1228057628, 1224465.0842093595, 674915.4191603053, 308473.2257496402, 111723.05191959825, 111723.05191959825]"
503,"[101510.73066741042, 101510.73066741042, 500.2857280521053, 684.7802361626482, 1421.5079627507068, 1255.1258786718931, 1065.6831055101068, 857.648868095641, 857.648868095641]","[101510.73066741042, 101510.73066741042, 523171.8832008692, 1316629.921843497, 1224465.8273144523, 674915.7747583317, 308473.36764172325, 111723.06349076593, 111723.06349076593]"
504,"[101511.41907152908, 101511.41907152908, 500.2859352003761, 684.7801374275697, 1421.505605956343, 1255.1237767142277, 1065.6813058907812, 857.6473543175122, 857.6473543175122]","[101511.41907152908, 101511.41907152908, 523173.059848726, 1316630.7221216722, 1224466.5715731552, 674916.1309079631, 308473.5097537512, 111723.07507990273, 111723.07507990273]"
505,"[101512.10854814673, 101512.10854814673, 500.2861426713285, 684.780038540943, 1421.5032455080973, 1255.1216714977963, 1065.6795034814556, 857.6458381916908, 857.6458381916908]","[101512.10854814673, 101512.10854814673, 523174.23832836846, 1316631.5236507975, 1224467.3169952417, 674916.4876148269, 308473.65208838234, 111723.08668716086, 111723.08668716086]"
506,"[101512.79909616221, 101512.79909616221, 500.2863504636346, 684.7799395010736, 1421.5008814031423, 1255.1195630200837, 1065.6776982799845, 857.6443197178457, 857.6443197178457]","[101512.79909616221, 101512.79909616221, 523175.41863480845, 1316632.326418989, 1224468.0635696598, 674916.8448727807, 308473.79464279563, 111723.0983123681, 111723.0983123681]"
507,"[101513.49071447494, 101513.49071447494, 500.2865585777547, 684.7798403096103, 1421.4985136506377, 1255.117451289254, 1065.6758902933516, 857.6427989006734, 857.6427989006734]","[101513.49071447494, 101513.49071447494, 523176.6007686216, 1316633.130433429, 1224468.8113030891, 674917.2026857029, 308473.9374188348, 111723.10995562846, 111723.10995562846]"
508,"[101514.18340198472, 101514.18340198472, 500.2867670121059, 684.779740964381, 1421.496142246041, 1255.115336301264, 1065.6740795181056, 857.6412757391236, 857.6412757391236]","[101514.18340198472, 101514.18340198472, 523177.7847240269, 1316633.9356795102, 1224469.5601819446, 674917.5610460213, 308474.080413013, 111723.12161673077, 111723.12161673077]"
509,"[101514.87715759172, 101514.87715759172, 500.2869757676878, 684.7796414680424, 1421.4937672021226, 1255.1132180674952, 1065.6722659639797, 857.6397502394057, 857.6397502394057]","[101514.87715759172, 101514.87715759172, 523178.9705032782, 1316634.742170164, 1224470.3102182525, 674917.9199606349, 308474.22362858005, 111723.13329586198, 111723.13329586198]"
510,"[101515.57198019665, 101515.57198019665, 500.2871848434854, 684.7795418194839, 1421.491388518145, 1255.1110965872938, 1065.6704496304205, 857.6382224020648, 857.6382224020648]","[101515.57198019665, 101515.57198019665, 523180.1581023621, 1316635.549896838, 1224471.0614040594, 674918.2794251532, 308474.36706353043, 111723.14499289848, 111723.14499289848]"
511,"[101516.26786870057, 101516.26786870057, 500.28739423925003, 684.7794420190274, 1421.4890061985036, 1255.10897186458, 1065.6686305207838, 857.6366922297976, 857.6366922297976]","[101516.26786870057, 101516.26786870057, 523181.3475196501, 1316636.3588591518, 1224471.8137390113, 674918.6394394801, 308474.5107178578, 111723.15670783467, 111723.15670783467]"
