,mass,equivalent_airspeed,altitude,ground_distance,engine_setting,true_airspeed,mach,CL,CD,drag,thrust_rate,thrust_is_regulated,psfc,thrust,TPshaft_power,TP_power_rate,thermo_power,TP_thermal_efficiency,TP_residual_thrust,TP_air_flow,CT,slope_angle,acceleration,time,name,RC,climb_gradient,slope_angle_penalty,RC_penalty,altitude_penalty
1699,23055.25249614357,63.950472723733064,5781.727287584352,260003.02913925727,9,86.09775935225632,0.27131998442294786,1.5066603479333207,0.09707491635746496,14567.406012783946,1.0,False,7.684278694473566e-08,16656.941375272676,1695757.45828989,1.000007367808572,1695744.964365606,0.3272169381676454,1199.4552698976106,5.200871777920013,0.4034274420206347,0.009241855351950174,0.0,3398.0,OEI_ceiling,0.7957030380605682,0.00924185535195017,-0.0017581428365356037,-0.15137215884693572,2921.335971804502
1700,23054.991882685415,63.950472723733064,5783.318671006403,260175.21730424176,9,86.1053231509491,0.2713494212197039,1.506643316848382,0.09707338197811617,14567.175758380545,1.0,False,7.684073714895636e-08,16654.227729059545,1695589.8587804767,1.0000074737667497,1695577.1864320794,0.32722815770385616,1199.3604076369652,5.200169208974756,0.40343259291120476,0.009230975845310175,0.0,3400.0,OEI_ceiling,0.7948361581590382,0.009230975845310171,-0.0017690223093378334,-0.1523222376067724,2921.0332274868083
1701,23054.731301936114,63.950472723733064,5784.908320746578,260347.4206134824,9,86.11287968470607,0.2713788303495007,1.5066262879009664,0.09707184780909422,14566.945535539531,1.0,False,7.683868967806978e-08,16651.517354896743,1695422.4515694694,1.000007579780371,1695409.6007370572,0.32723936575661106,1199.2656607726215,5.199467482599688,0.4034377381341165,0.009220110412377414,0.0,3402.0,OEI_ceiling,0.7939702586207619,0.009220110412377414,-0.001779887708058634,-0.1532712560563404,2920.7285830115948
1702,23054.470753856855,63.950472723733064,5786.4962387653295,260519.6390524102,9,86.12042895982486,0.2714082118350589,1.5066092610885378,0.09707031385016392,14566.715344225611,1.0,False,7.683664452839134e-08,16648.810248441958,1695255.2365008255,1.0000076858947924,1695242.2070475745,0.32725056234153355,1199.171029226096,5.198766597770355,0.40344287769716985,0.009209259034640592,0.0,3404.0,OEI_ceiling,0.7931053384653904,0.00920925903464058,-0.0017907390512083262,-0.15421921524517082,2920.422040499482
1703,23054.210238408872,63.950472723733064,5788.082427021148,260691.87260646897,9,86.12797098260108,0.27143756569909533,1.5065922364085629,0.09706878010109038,14566.485184403542,1.0,False,7.683460169706421e-08,16646.106405358776,1695088.2133222793,1.0000077920984642,1695075.005130935,0.32726174747039244,1199.0765128335004,5.198066553340813,0.4034480116081534,0.009198421693613242,0.0,3406.0,OEI_ceiling,0.7922413967132496,0.009198421693613235,-0.0018015763572723626,-0.1551661162220942,2920.113602068992
1704,23053.949755553447,63.950472723733064,5789.6668874705665,260864.1212611151,9,86.13550575932825,0.2714668919643223,1.5065752138585107,0.0970672465616389,14566.255056038102,1.0,False,7.683256118126158e-08,16643.40582131666,1694921.3817787713,1.0000078983780287,1694907.9947547049,0.3272729211548237,1198.98211142843,5.197367348162763,0.40345313987484344,0.00918759837083374,0.0,3408.0,OEI_ceiling,0.7913784323853446,0.009187598370833744,-0.0018123996447114116,-0.15611196003524427,2919.8032698365478
1705,23053.689305251923,63.950472723733064,5791.249622068162,261036.38500181772,9,86.14303329629777,0.27149619065344804,1.5065581934358545,0.0970657132315752,14566.024959094142,1.0,False,7.683052297737022e-08,16640.708491991063,1694754.7417081187,1.000008004774762,1694741.1756867277,0.32728408341013965,1198.887824926792,5.196668981207545,0.4034582625050063,0.00917678904786558,0.0,3410.0,OEI_ceiling,0.7905164445033855,0.009176789047865577,-0.001823208931961051,-0.15705674773202832,2919.491045916477
1706,23053.428887465674,63.950472723733064,5792.830632766555,261208.6638140586,9,86.1505535997989,0.2715254617891764,1.5065411751380717,0.09706418011066541,14565.794893536555,1.0,False,7.68284870831435e-08,16638.014413063294,1694588.2927887803,1.0000081112357597,1694574.5476951115,0.3272952342452824,1198.7936531030941,5.195971451244501,0.40346337950639677,0.009165993706296961,0.0,3412.0,OEI_ceiling,0.7896554320897556,0.009165993706296963,-0.001834004237432116,-0.15800048035915382,2919.176932421013
1707,23053.168502156146,63.950472723733064,5794.4099215164115,261380.95768333215,9,86.15806667611878,0.2715547053942069,1.5065241589626421,0.09706264719867583,14565.564859330274,1.0,False,7.682645349519466e-08,16635.323580220534,1694422.0348335325,1.0000082177872143,1694408.110548226,0.3273063736745216,1198.6995958509453,5.195274757215469,0.4034684908867566,0.009155212327740794,0.0,3414.0,OEI_ceiling,0.788795394167516,0.009155212327740803,-0.0018447855795107808,-0.15894315896263228,2918.860931460295
1708,23052.908149284824,63.950472723733064,5795.987490266444,261553.2665951455,9,86.16557253154245,0.2715839214912346,1.5065071449070488,0.0970611144953731,14565.334856440277,1.0,False,7.682442221079272e-08,16632.635989155842,1694255.9675790055,1.0000083244102238,1694241.864014711,0.32731750170907276,1198.6056529963228,5.194578897966358,0.4034735966538171,0.00914444489383478,0.0,3416.0,OEI_ceiling,0.7879363297604138,0.009144444893834772,-0.001855552976558463,-0.15988478458776773,2918.54304514237
