,TP_total_temperature,TP_total_pressure
3580,"[52288.48528968112, 52288.48528968112, 466.2576878539761, 648.4671997751774, 1403.9023423381032, 1239.5654484307786, 1050.594131350964, 806.7490459441798, 806.7490459441798]","[52288.48528968112, 52288.48528968112, 307984.64638515667, 812305.4566294253, 755444.0746653655, 416369.85124545195, 188685.03947271008, 54873.97649452343, 54873.97649452343]"
3581,"[52292.50907818179, 52292.50907818179, 466.2633364449893, 648.4728487046007, 1403.9023449455126, 1239.5654284500145, 1050.5940853822392, 806.7444503947527, 806.7444503947527]","[52292.50907818179, 52292.50907818179, 307999.30179366114, 812335.9815611453, 755472.4628518651, 416385.4618340838, 188692.0887218001, 54874.57599330891, 54874.57599330891]"
3582,"[52296.52858708192, 52296.52858708192, 466.2689787153411, 648.47849131037, 1403.9023475298643, 1239.5654084736473, 1050.5940394496033, 806.7398602035463, 806.7398602035463]","[52296.52858708192, 52296.52858708192, 308013.94128885743, 812366.4730856707, 755500.8199696739, 416401.0553360327, 188699.1302537183, 54875.17486512761, 54875.17486512761]"
3583,"[52300.54381615138, 52300.54381615138, 466.2746146726323, 648.4841276060857, 1403.902350137384, 1239.5653885428574, 1050.593993588191, 806.7352753885762, 806.7352753885762]","[52300.54381615138, 52300.54381615138, 308028.5648845125, 812396.9312522063, 755529.1460645519, 416416.631777116, 188706.1640803701, 54875.77311085547, 54875.77311085547]"
3584,"[52304.55476518009, 52304.55476518009, 466.2802443132095, 648.4897575842757, 1403.9023527386498, 1239.56536863143, 1050.5939477756306, 806.7306959361907, 806.7306959361907]","[52304.55476518009, 52304.55476518009, 308043.172572296, 812427.3560317123, 755557.4411094924, 416432.191142077, 188713.19019471583, 54876.37072983223, 54876.37072983223]"
3585,"[52308.56143397785, 52308.56143397785, 466.2858676379591, 648.4953812459358, 1403.902355334505, 1239.5653487401128, 1050.5939020125552, 806.7261218453784, 806.7261218453784]","[52308.56143397785, 52308.56143397785, 308057.76435281755, 812457.7474266582, 755585.7051067922, 416447.73343219556, 188720.2085973414, 54876.96772201624, 54876.96772201624]"
3586,"[52312.56382237421, 52312.56382237421, 466.2914846459143, 648.5009985885728, 1403.902357913187, 1239.565328858423, 1050.5938562900167, 806.7215531098335, 806.7215531098335]","[52312.56382237421, 52312.56382237421, 308072.34022306284, 812488.1054265953, 755613.9380467337, 416463.2586419687, 188727.21928570443, 54877.56408711227, 54877.56408711227]"
3587,"[52316.56193021861, 52316.56193021861, 466.2970953431494, 648.5066096228392, 1403.9023605099726, 1239.5653090177873, 1050.5938106348267, 806.7169897429084, 806.7169897429084]","[52316.56193021861, 52316.56193021861, 308086.9001938764, 812518.430069976, 755642.1399650777, 416478.7667915634, 188734.22226910174, 54878.159825785624, 54878.159825785624]"
3588,"[52320.55575738003, 52320.55575738003, 466.30269972524377, 648.5122143397357, 1403.9023630895836, 1239.5652891867715, 1050.5937650201583, 806.7124317284182, 806.7124317284182]","[52320.55575738003, 52320.55575738003, 308101.4442554924, 812548.7213222703, 755670.3108297115, 416494.2578628306, 188741.21753915568, 54878.75493726827, 54878.75493726827]"
3589,"[52324.54530374716, 52324.54530374716, 466.30829779832237, 648.5178127499644, 1403.9023656872837, 1239.5652693967895, 1050.5937194728126, 806.7078790796694, 806.7078790796694]","[52324.54530374716, 52324.54530374716, 308115.9724188927, 812578.9792222097, 755698.450676655, 416509.7318760795, 188748.20510522733, 54879.349422231244, 54879.349422231244]"
3590,"[52328.53056922811, 52328.53056922811, 466.3138895578936, 648.5234048443477, 1403.9023682669708, 1239.5652496156736, 1050.5936739653364, 806.7033317800914, 806.7033317800914]","[52328.53056922811, 52328.53056922811, 308130.48467420886, 812609.2037346965, 755726.5594732678, 416525.18881285907, 188755.18495879887, 54879.943279895415, 54879.943279895415]"
