,mass,true_airspeed,altitude,ground_distance,alpha,time,engine_setting,mach,equivalent_airspeed,thrust_rate,thrust_is_regulated,psfc,thrust,TPshaft_power,TP_power_rate,thermo_power,TP_thermal_efficiency,TP_residual_thrust,TP_air_flow,CT,CL,CD,drag,slope_angle,acceleration,name,delta_time,fuel_mass,max_mach
0,23563.575504764103,0.001,0.0,0.0,-0.017453292519943295,0.0,1,2.9386244994912704e-06,0.001,1.0,False,9.195277605317813e-08,81150.05785361545,3602827.4331659065,0.9999940378871033,4168898.0963477455,0.2699636935245965,3355.0000277722256,7.520800745684484,0.36455288696554455,0.8462812267275118,0.0729192601795517,2.675653894763814e-06,0.0,3.4043663871065792,,0.01,0.0033128998412015123,
1,23563.572191864263,0.03504366387106579,0.0,1e-05,-0.017453292519943295,0.01,1,0.00010298016920345102,0.03504366387106579,1.0,False,9.195277590829723e-08,81131.27181593295,3602827.4331486574,0.9999940378823157,4168898.122011457,0.26996127333009784,3354.487960278421,7.520800757480421,0.3644684938738705,0.8462812267275118,0.0729192601795517,0.003285859180777258,0.0,3.4035695550192693,take off,0.01,0.006625799677167355,
2,23563.568878964426,0.06907935942125848,0.0,0.00036043663871065793,-0.017453292519943295,0.02,1,0.00020299829800447325,0.06907935942125848,1.0,False,9.195277548950638e-08,81112.49022294543,3602827.4331485494,0.9999940378822857,4168898.1961315186,0.26995885453973006,3353.976019723144,7.520800791583822,0.36438412074923554,0.8462812267275118,0.0729192601795517,0.01276810773557021,0.0,3.402772660452557,take off,0.01,0.009938699498044786,
3,23563.565566064604,0.10310708602578406,0.0,0.0010512302329232428,-0.017453292519943295,0.03,1,0.000302993009066523,0.10310708602578406,1.0,False,9.195277479686994e-08,81093.71307495286,3602827.433183417,0.9999940378919635,4168898.318673869,0.2699564371532712,3353.464206120593,7.520800847991665,0.36429976759298743,0.8462812267275118,0.0729192601795517,0.028445067031632614,0.0,3.401975703595355,take off,0.009999999999999998,0.013251599293999782,
4,23563.562253164808,0.1371268430617376,0.0,0.0020823010931810835,-0.017453292519943295,0.04,1,0.00040296430055911667,0.1371268430617376,1.0,False,9.195277383114289e-08,81074.94037225426,3602827.4331748085,0.9999940378895741,4168898.4896044885,0.2699540211685302,3352.952519407658,7.5208009266326785,0.36421543440646936,0.8462812267275118,0.0729192601795517,0.05031238334806423,0.0,3.4011786846365117,take off,0.010000000000000002,0.016564499055153385,
5,23563.558940265048,0.17113862990810275,0.0,0.0034535695237984596,-0.017453292519943295,0.05,1,0.0005029121706573202,0.17113862990810275,1.0,False,9.195277259180172e-08,81056.17211514764,3602827.433222543,0.9999940379028232,4168898.7088893596,0.26995160658696116,3352.4409596642963,7.520801027561977,0.36413112119102015,0.8462812267275118,0.0729192601795517,0.07836570353169066,0.0,3.400381603764811,take off,0.010000000000000002,0.01987739877169956,
6,23563.55562736533,0.20514244594575087,0.0,0.005164955822879487,-0.017453292519943295,0.060000000000000005,1,0.0006028366175417471,0.20514244594575087,1.0,False,9.195277107952388e-08,81037.4083039299,3602827.4332589074,0.9999940379129164,4168898.976494462,0.269949193406594,3351.9295268359633,7.520801150715886,0.3640468279479735,0.8462812267275118,0.0729192601795517,0.11260067499904641,0.0,3.3995844611689647,take off,0.010000000000000002,0.023190298433794408,
7,23563.55231446567,0.2391382905574405,0.0,0.007216380282336996,-0.017453292519943295,0.07,1,0.0007027376393985566,0.2391382905574405,1.0,False,9.19527692945533e-08,81018.64893889701,3602827.433276745,0.9999940379178673,4168899.2923857733,0.2699467816266945,3351.4182209167357,7.520801296073698,0.36396255467865907,0.8462812267275118,0.0729192601795517,0.15301294573835617,0.0,3.3987872570376236,take off,0.010000000000000002,0.026503198031596252,
8,23563.549001566073,0.27312616312781673,0.0,0.009607763187911402,-0.017453292519943295,0.08,1,0.0008026152344194514,0.27312616312781673,1.0,False,9.195276723669827e-08,80999.8940203439,3602827.4333295445,0.9999940379325223,4168899.656529292,0.2699443712477708,3350.907041949296,7.52080146365768,0.3638783013844017,0.8462812267275118,0.0729192601795517,0.199598164311514,0.0,3.3979899915593728,take off,0.009999999999999995,0.029816097555305676,
9,23563.54568866655,0.3071060630434105,0.0,0.012339024819189569,-0.017453292519943295,0.09,1,0.0009024694008016766,0.3071060630434105,1.0,False,9.195276490641961e-08,80981.14354856445,3602827.433379875,0.999994037946492,4168900.068891004,0.2699419622684701,3350.395989903368,7.520801653425653,0.3637940680665217,0.8462812267275118,0.0729192601795517,0.25235197985606095,0.0,3.397192664922725,take off,0.009999999999999995,0.033128996995105464,
