,mass,true_airspeed,altitude,ground_distance,fuel_mass,time,DISA,engine_setting,mach,equivalent_airspeed,CL,CD,drag,thrust_rate,EM_power_rate,TP_power_rate,thrust_is_regulated,psfc,thrust,TPshaft_power,thermo_power,TP_residual_thrust,slope_angle,acceleration,TP_thermal_efficiency,TP_air_flow,TP_total_pressure,TP_total_temperature,CT,name,ceiling,max_mach,delta_time
0,23523.578794353823,60.0,10.668,0.0,0.7438374906012237,60.0,0.0,1,0.17633868880182274,59.969279456360205,1.748150131984853,0.11861636363848337,15652.724762438078,1.0,0.0,1.0,False,1.0338703303493353e-07,47548.04595411976,3597344.2160289474,3597344.2160289474,2530.2462759720142,0.13826202391067652,0.0,,,,,,,,,2.0
1,23522.834956863222,60.0476718996087,27.206631964410292,118.85484278204984,1.4868221082642186,62.0,0.0,1,0.17651173238975007,59.969279456360205,1.748094853848021,0.11861056643292456,15651.959757844952,1.0,0.0,1.0,False,1.0323888548948077e-07,47527.73785923097,3598375.8161487468,3598375.8161487468,2530.152478710534,0.13818167661711372,0.0,,,,,,initial climb,,,2.0
2,23522.09197224556,60.095409843044656,43.74884708966003,237.80544900581896,2.2289532715211244,64.0,0.0,1,0.1766850480593617,59.969279456360205,1.748039639092274,0.11860477606107228,15651.19565503404,1.0,0.0,1.0,False,1.0309124580171725e-07,47507.1275801631,3599389.829298889,3599389.829298889,2530.042480587483,0.1381000053137458,0.0,,,,,,initial climb,,,2.0
3,23521.3498410823,60.14321350524085,60.29449065856819,356.85197275054946,2.9702304253009704,66.0,0.0,1,0.17685863474479294,59.969279456360205,1.7479844877608233,0.11859899252681536,15650.432454518523,1.0,0.0,1.0,False,1.029441147351759e-07,47486.21594359059,3600386.2663095593,3600386.2663095593,2529.916296475742,0.13801701346221748,0.0,,,,,,initial climb,,,2.0
4,23520.608563928523,60.191082559060106,76.84340786369762,475.9945674104179,3.710653040811005,68.0,0.0,1,0.17703249137182692,59.969279456360205,1.7479293998949188,0.11859321583383692,15649.670156784423,1.0,0.0,1.0,False,1.0279749303291942e-07,47465.00378829425,3601365.1387049146,3601365.1387049146,2529.7739419180857,0.13793270457766507,0.0,,,,,,initial climb,,,2.0
5,23519.868141313014,60.23901667530325,93.39544381357597,595.233385688864,4.450220615416365,70.0,0.0,1,0.17720661685791517,59.969279456360205,1.7478743755338575,0.1185874459856156,15648.908762290792,1.0,0.0,1.0,False,1.0265138141754975e-07,47443.491965089066,3602326.4587013153,3602326.4587013153,2529.6154331257408,0.13784708222840894,0.0,,,,,,initial climb,,,2.0
6,23519.12857373841,60.28701552271729,109.95044353892331,714.5685795929408,5.188846295930323,72.0,0.0,1,0.17738101011219856,59.969279456360205,1.7478194147149935,0.11858168298542651,15648.148271469803,1.0,0.0,1.0,False,1.0250578059121955e-07,47416.59870069154,3602848.91375788,3603270.239205493,2529.1696825665595,0.13773811330763014,0.0,,,,,,initial climb,,,2.0
7,23518.389948057895,60.335071123804305,126.5056201105179,834.0006652786087,5.926426672262384,74.0,0.0,1,0.17755564225421155,59.969279456360205,1.7477645238928032,0.11857592750938967,15647.388773542889,1.0,0.0,1.0,False,1.023607142552562e-07,47383.33751459173,3602848.91375788,3604196.347986931,2528.383547233018,0.13760151752291336,0.0,,,,,,initial climb,,,2.0
8,23517.652367681563,60.383173949426755,143.05766596078212,953.5302139610532,6.6629657966637765,76.0,0.0,1,0.17773047874162856,59.969279456360205,1.7477097107521882,0.11857018036254709,15646.63037474413,1.0,0.0,1.0,False,1.022162102869255e-07,47350.02369618236,3602848.91375788,3605104.6364272037,2527.593546517218,0.13746467407058524,0.0,,,,,,initial climb,,,2.0
9,23516.91582855716,60.43132392953382,159.60653808711626,1073.1573246683388,7.398467714959577,78.0,0.0,1,0.17790551939623261,59.969279456360205,1.7476549749920043,0.1185644415125435,15645.873070803907,1.0,0.0,1.0,False,1.0207226779441182e-07,47316.65723179113,3602848.91375788,3605995.1439050194,2526.799672315982,0.1373275829284824,0.0,,,,,,initial climb,,,2.0
10,23516.180326638867,60.47952099317383,176.1521933537563,1192.8820962876762,8.132936466525605,80.0,0.0,1,0.1780807640363453,59.969279456360205,1.74760031631159,0.11855871092707933,15645.116857459918,1.0,0.0,1.0,False,1.0192888588269366e-07,47283.238108440135,3602848.91375788,3606867.909933692,2526.0019165491703,0.13719024407735186,0.0,,,,,,initial climb,,,2.0
11,23515.445857887302,60.52776506849036,192.69458849179907,1312.7046275635255,8.866376084265362,82.0,0.0,1,0.17825621247680906,59.969279456360205,1.7475457344107563,0.11855298857390967,15644.361730457118,1.0,0.0,1.0,False,1.0178606365354877e-07,47249.76631385095,3602848.91375788,3607722.974160959,2525.2002711600835,0.13705265750087348,0.0,,,,,,initial climb,,,2.0
12,23514.712418269562,60.57605608271799,209.23368009923226,1432.6250170956912,9.59879059458701,84.0,0.0,1,0.17843186452896856,59.969279456360205,1.7474912289898008,0.11854727442084573,15643.60768554783,1.0,0.0,1.0,False,1.0164380020555992e-07,47216.24183645006,3602848.91375788,3608560.3763687937,2524.394728115935,0.13691482318568307,0.0,,,,,,initial climb,,,2.0
13,23513.98000375924,60.6243939621783,225.76942464096905,1552.6433633374088,10.33018401738039,86.0,0.0,1,0.17860772000065286,59.969279456360205,1.7474367997495024,0.11854156843575428,15642.854718491719,1.0,0.0,1.0,False,1.0150209463412035e-07,47182.66466537405,3602848.91375788,3609380.1564732078,2523.585279408267,0.13677674112139537,0.0,,,,,,initial climb,,,2.0
14,23513.248610336446,60.672778632275914,242.30177844888726,1672.7597645934213,11.060560365994075,88.0,0.0,1,0.1787837786961573,59.969279456360205,1.7473824463911225,0.11853587058655772,15642.102825055805,1.0,0.0,1.0,False,1.0136094603143945e-07,47149.034790474856,3602848.91375788,3610182.35452406,2522.771917053415,0.13663841130062646,0.0,,,,,,initial climb,,,2.0
15,23512.518233987834,60.721210017494194,258.8306977218733,1792.9743190180488,11.789923647212476,90.0,0.0,1,0.17896004041622487,59.969279456360205,1.7473281686164102,0.11853018084123458,15641.352001014504,1.0,0.0,1.0,False,1.0122035348654871e-07,47115.35220232522,3602848.91375788,3610967.010704851,2521.9546330929384,0.13649983371901775,0.0,,,,,,initial climb,,,2.0
16,23511.788870706616,60.769688041391376,275.35613852587113,1913.2871246132477,12.518277861232981,92.0,0.0,1,0.1791365049580285,59.969279456360205,1.747273966127602,0.11852449916781949,15640.602242149635,1.0,0.0,1.0,False,1.0108031608530745e-07,47081.61689222389,3602848.91375788,3611734.165332522,2521.1334195940854,0.13636100837525822,0.0,,,,,,initial climb,,,2.0
17,23511.060516492595,60.818212626596484,291.8780567939355,2033.6982792266617,13.245627001643147,94.0,0.0,1,0.17931317211515288,59.969279456360205,1.7472198386274247,0.11851882553440349,15639.85354425046,1.0,0.0,1.0,False,1.0094083291040897e-07,47047.828852200946,3602848.91375788,3612483.858857236,2520.308268650237,0.1362219352711079,0.0,,,,,,initial climb,,,2.0
