,mass,true_airspeed,altitude,ground_distance,fuel_mass,time,DISA,engine_setting,mach,equivalent_airspeed,CL,CD,drag,thrust_rate,EM_power_rate,TP_power_rate,thrust_is_regulated,psfc,thrust,TPshaft_power,thermo_power,TP_residual_thrust,H2_fc,slope_angle,acceleration,TP_thermal_efficiency,TP_air_flow,TP_total_pressure,TP_total_temperature,CT,name,ceiling,max_mach,delta_time,H2_mass
0,22724.360668925823,60.0,10.668,0.0,0.6694537415411013,60.0,0.0,1,0.17633868880182274,59.969279456360205,1.6887563941669068,0.11249540398339387,14844.997280122816,1.0,0.0,1.0,False,9.304832973144018e-08,47548.04595411976,3597344.2160289474,3597344.2160289474,2530.2462759720142,0.013266552543891311,0.14674925043009965,0.0,,,,,,,,,2.0,0.026533105087782623
1,22723.664682079194,60.050579620819605,28.2147721673712,118.71019664083775,1.3380930962487758,62.0,0.0,1,0.17652228813270013,59.969279456360205,1.6887046720412717,0.11249016773971178,14844.306300576392,1.0,0.0,1.0,False,9.290688513311182e-08,47526.49031064486,3598438.1230179295,3598438.1230179295,2530.1462378491537,0.013250413854918063,0.14666011568493836,0.0,,,,,,initial climb,,,2.0,0.05303393279761875
2,22722.969541896775,60.10123407612388,45.765745960027324,237.52203010078853,2.005917468384504,64.0,0.0,1,0.1767061955263878,59.969279456360205,1.6886530128353203,0.11248493802934165,14843.61618317185,1.0,0.0,1.0,False,9.276595363445964e-08,47504.59435588927,3599512.245447625,3599512.245447625,2530.0279635170214,0.013234263360205476,0.14656943896804647,0.0,,,,,,initial climb,,,2.0,0.0795024595180297
3,22722.275248997918,60.15196299471739,63.32074189572071,356.43567720485277,2.67292629031212,66.0,0.0,1,0.1768904097727954,59.969279456360205,1.6886014165950802,0.11247971485634597,14842.92692844527,1.0,0.0,1.0,False,9.262553602854355e-08,47482.35906144028,3600566.596030658,3600566.596030658,2529.891470210352,0.013218101616657383,0.14647722450187112,0.0,,,,,,initial climb,,,2.0,0.10593866275134446
4,22721.581803972756,60.202766002854666,80.8795803748506,475.45131399151717,3.339119022363228,68.0,0.0,1,0.1770749296515652,59.969279456360205,1.6885498833644077,0.11247449822456759,14842.238536903751,1.0,0.0,1.0,False,9.248563308571495e-08,47459.7854138722,3601601.1883363873,3601601.1883363873,2529.7367759920735,0.013201929178510558,0.14638347657730794,0.0,,,,,,initial climb,,,2.0,0.13234252110836559
5,22720.889207382348,60.253642724250156,98.44208168836198,594.5691157055801,4.004495152700671,70.0,0.0,1,0.17725975393209634,59.969279456360205,1.6884984131849967,0.11246928813763069,14841.551009025556,1.0,0.0,1.0,False,9.234624555362823e-08,47436.87441465354,3602616.0367886284,3602616.0367886284,2529.563899751514,0.013185746597296167,0.14628819955329167,0.0,,,,,,initial climb,,,2.0,0.15871401430295792
6,22720.197459758816,60.3045927800883,116.00806602565434,713.7892567910038,4.668913628346533,72.0,0.0,1,0.17744488137356956,59.969279456360205,1.688447006096393,0.1124640845989422,14840.864345260254,1.0,0.0,1.0,False,9.220737415725457e-08,47404.43509419687,3602848.91375788,3603611.1566633033,2528.8824967018822,0.013166768771799939,0.1461501428583842,0.0,,,,,,initial climb,,,2.0,0.1850475518465578
7,22719.506707745626,60.355601484207845,133.57243081169455,833.1126356031714,5.332335441633612,74.0,0.0,1,0.17763025873278201,59.969279456360205,1.6883956729963743,0.11245888871095212,14840.178691088186,1.0,0.0,1.0,False,9.206905828797434e-08,47369.12156660451,3602848.91375788,3604586.2935741018,2528.0467522190215,0.01314701793207667,0.14599916656591982,0.0,,,,,,initial climb,,,2.0,0.21134158771071115
8,22718.816991896474,60.40666440150262,151.13362199479593,952.5395969071944,5.994764674651754,76.0,0.0,1,0.17781586998994336,59.969279456360205,1.6883444168986834,0.11245370077799713,14839.494086669878,1.0,0.0,1.0,False,9.193130892730226e-08,47333.74802951847,3602848.91375788,3605541.4072159794,2527.206634356399,0.013127347987053194,0.1458479003812721,0.0,,,,,,initial climb,,,2.0,0.23759628368481756
9,22718.128307967483,60.457781456704396,168.69158980475805,1072.0702548274426,6.656205402723993,78.0,0.0,1,0.17800171496498748,59.969279456360205,1.6882932374879362,0.112448520767432,14838.81052769744,1.0,0.0,1.0,False,9.179412513614621e-08,47298.314459383524,3602848.91375788,3606476.5435331305,2526.3621330780456,0.01310775880263167,0.14569634423955946,0.0,,,,,,initial climb,,,2.0,0.2638118012900809
