,mass,true_airspeed,altitude,ground_distance,fuel_mass,time,DISA,engine_setting,mach,equivalent_airspeed,CL,CD,drag,thrust_rate,EM_power_rate,TP_power_rate,thrust_is_regulated,psfc,thrust,TPshaft_power,thermo_power,shaft_power,power_rate,EMshaft_power,FC_power,FC_stack_power,H2_fc,BAT_ec,BAT_power,slope_angle,acceleration,CT,TP_thermal_efficiency,TP_air_flow,FC_efficiency,FC_airflow,V_cell,V_stack,V_pack,V_core,I_cell,I_stack,I_pack,I_core,name,ceiling,max_mach,delta_time,BAT_energy
0,23553.0,60.0,10.668,0.0,0.712710728340081,60.0,0.0,1,0.17633868880182274,59.969279456360205,1.7503365630965109,0.11884581208603671,15683.00299123008,1.0,1.0,1.0,False,9.90606799822497e-08,49581.37118068758,3597344.2160289474,3597344.2160289474,3997344.2160289474,1.0,400000.0,0.0,0.0,0.0,420786.8714496108,420786.8714496108,0.14676141313754118,0.0,,,,,,,,,,,,,,,,,2.0,841573.7428992216
1,23552.28728927166,60.05058378534199,28.216216003465377,118.70998321580086,1.4251233201703877,62.0,0.0,1,0.1765223032510265,59.969279456360205,1.7502835981388953,0.11884025037924822,15682.269063271915,1.0,1.0,1.0,False,9.898913776176288e-08,49554.9723949084,3598438.2122050095,3598438.2122050095,3998438.2122050095,1.0,400000.0,0.0,0.0,0.0,420786.8714496108,420786.8714496108,0.14665473607905094,0.0,,,,,,,,,,,,,,initial climb,,,2.0,1683147.4857984432
2,23551.574876679828,60.101236403478055,45.766551852148766,237.5219193309906,2.1372352056782846,64.0,0.0,1,0.17670620397697787,59.969279456360205,1.750230655337236,0.11883469117060178,15681.535464970879,1.0,1.0,1.0,False,9.891782931730163e-08,49528.247360216395,3599512.2943086154,3599512.2943086154,3999512.2943086154,1.0,400000.0,0.0,0.0,0.0,420786.8714496108,420786.8714496108,0.1465466367166371,0.0,,,,,,,,,,,,,,initial climb,,,2.0,2524721.228697665
3,23550.86276479432,60.15195748659566,63.318836964094224,356.4359713023872,2.8490438275850285,66.0,0.0,1,0.17689038976891847,59.969279456360205,1.750177734882507,0.118829134479934,15680.802198944642,1.0,1.0,1.0,False,9.884675443791411e-08,49501.19716758782,3600566.482705472,3600566.482705472,4000566.482705472,1.0,400000.0,0.0,0.0,0.0,420786.8714496108,420786.8714496108,0.14643711962177786,0.0,,,,,,,,,,,,,,initial climb,,,2.0,3366294.9715968864
4,23550.150956172416,60.202746664593334,80.87290071383437,475.4523012901116,3.560546641164613,68.0,0.0,1,0.1770748594067607,59.969279456360205,1.750124836964753,0.11882358032698175,15680.069267797682,1.0,1.0,1.0,False,9.877591290303369e-08,49473.82292100959,3601600.7985572983,3601600.7985572983,4001600.7985572983,1.0,400000.0,0.0,0.0,0.0,420786.8714496108,420786.8714496108,0.14632618942313155,0.0,,,,,,,,,,,,,,initial climb,,,2.0,4207868.714496108
5,23549.439453358835,60.25360356509026,98.42857243944513,594.5710706512303,4.2717411142620145,70.0,0.0,1,0.17725961166111256,59.969279456360205,1.7500719617730858,0.11881802873138138,15679.336674121227,1.0,1.0,1.0,False,9.870530448254005e-08,49446.12573738247,3602615.2638190016,3602615.2638190016,4002615.2638190016,1.0,400000.0,0.0,0.0,0.0,420786.8714496108,420786.8714496108,0.14621385080612692,0.0,,,,,,,,,,,,,,initial climb,,,2.0,5049442.457395329
6,23548.728258885738,60.30452781343634,115.98568144960402,713.7924399334258,4.982474607419256,72.0,0.0,1,0.17744464529330373,59.969279456360205,1.7500191094956796,0.11881247971266858,15678.604420493242,1.0,1.0,1.0,False,9.86349289368237e-08,49409.54128214142,3602848.91375788,3603609.90123579,4002848.91375788,1.0,400000.0,0.0,0.0,0.0,420786.8714496108,420786.8714496108,0.14606301800513882,0.0,,,,,,,,,,,,,,initial climb,,,2.0,5891016.2002945505
7,23548.01752539258,60.35550617177376,133.53963122608621,833.1172200356779,5.692702799074734,74.0,0.0,1,0.1776299123111418,59.969279456360205,1.7499662914759082,0.11880693446151921,15677.872664036397,1.0,1.0,1.0,False,9.856480366736893e-08,49370.26059518276,3602848.91375788,3604584.491122835,4002848.91375788,1.0,400000.0,0.0,0.0,0.0,420786.8714496108,420786.8714496108,0.14590049540384417,0.0,,,,,,,,,,,,,,initial climb,,,2.0,6732589.943193772
8,23547.307297200925,60.40653460393141,151.0890106129692,952.545724941916,6.402427525020688,76.0,0.0,1,0.17781539813524078,59.969279456360205,1.7499135110075172,0.11880139332338839,15677.141450337278,1.0,1.0,1.0,False,9.8494933167443e-08,49330.919506599246,3602848.91375788,3605539.0060143196,4002848.91375788,1.0,400000.0,0.0,0.0,0.0,420786.8714496108,420786.8714496108,0.14573769594458244,0.0,,,,,,,,,,,,,,initial climb,,,2.0,7574163.686092993
9,23546.59757247498,60.45761301340021,168.63376780849853,1072.078060259075,7.11165061409068,78.0,0.0,1,0.1780011024993078,59.969279456360205,1.749860767954082,0.11879585628359035,15676.410777457935,1.0,1.0,1.0,False,9.842531647132704e-08,49291.518024104254,3602848.91375788,3606473.4963914626,4002848.91375788,1.0,400000.0,0.0,0.0,0.0,420786.8714496108,420786.8714496108,0.14557461966592805,0.0,,,,,,,,,,,,,,initial climb,,,2.0,8415737.428992216
10,23545.88834938591,60.508741302519844,186.17385085224004,1191.714331397601,7.820373888157458,80.0,0.0,1,0.17818702513258627,59.969279456360205,1.7498080621796932,0.11879032332749528,15675.680643467796,1.0,1.0,1.0,False,9.835595261300564e-08,49252.05615643017,3602848.91375788,3607388.0128931855,4002848.91375788,1.0,400000.0,0.0,0.0,0.0,420786.8714496108,420786.8714496108,0.14541126661078302,0.0,,,,,,,,,,,,,,initial climb,,,2.0,9257311.171891438
11,23545.179626111843,60.55991937247395,203.70920762523326,1311.4546435690036,8.528599162130961,82.0,0.0,1,0.17837316575983356,59.969279456360205,1.7497553935489583,0.11878479444052994,15674.951046443766,1.0,1.0,1.0,False,9.828684062618697e-08,49212.533913335275,3602848.91375788,3608282.6063157907,4002848.91375788,1.0,400000.0,0.0,0.0,0.0,420786.8714496108,420786.8714496108,0.14524763682640682,0.0,,,,,,,,,,,,,,initial climb,,,2.0,10098884.91479066
12,23544.47140083787,60.61114712328518,221.23978585015183,1431.2991017834,9.236328243956455,84.0,0.0,1,0.1785595241012987,59.969279456360205,1.7497027619270007,0.11877926960817704,15674.221984470147,1.0,1.0,1.0,False,9.821797954432002e-08,49172.9513056108,3602848.91375788,3609157.3276126287,4002848.91375788,1.0,400000.0,0.0,0.0,0.0,420786.8714496108,420786.8714496108,0.1450837303644482,0.0,,,,,,,,,,,,,,initial climb,,,2.0,10940458.657689882
13,23543.76367175604,60.66242445381013,238.76553309147093,1551.247810847047,9.94356293461281,86.0,0.0,1,0.17874609987269946,59.969279456360205,1.7496501671794664,0.11877374881597612,15673.4934556387,1.0,1.0,1.0,False,9.814936840061498e-08,49133.30834508795,3602848.91375788,3610012.2278937595,4002848.91375788,1.0,400000.0,0.0,0.0,0.0,420786.8714496108,420786.8714496108,0.14491954728097572,0.0,,,,,,,,,,,,,,initial climb,,,2.0,11782032.400589105
14,23543.056437065385,60.7137512617346,256.28639675564176,1671.3008753598633,10.650305028110916,88.0,0.0,1,0.17893289278520058,59.969279456360205,1.7495976091725143,0.11876823204952264,15672.765458048598,1.0,1.0,1.0,False,9.808100622806202e-08,49093.60504464495,3602848.91375788,3610847.3584256084,4002848.91375788,1.0,400000.0,0.0,0.0,0.0,420786.8714496108,420786.8714496108,0.1447550876365094,0.0,,,,,,,,,,,,,,initial climb,,,2.0,12623606.143488327
15,23542.349694971886,60.7651274435686,273.80232409127336,1791.4583997129391,11.356556311492236,90.0,0.0,1,0.179119902545391,59.969279456360205,1.7495450877728222,0.11876271929446838,15672.03798980645,1.0,1.0,1.0,False,9.801289205945073e-08,49053.84141821397,3602848.91375788,3611662.7706306153,4002848.91375788,1.0,400000.0,0.0,0.0,0.0,420786.8714496108,420786.8714496108,0.14459035149605098,0.0,,,,,,,,,,,,,,initial climb,,,2.0,13465179.88638755
16,23541.643443688507,60.81655289464149,291.3132621893213,1911.7204880860372,12.0623185648275,92.0,0.0,1,0.17930712885526154,59.969279456360205,1.7494926028475888,0.11875721053652191,15671.31104902632,1.0,1.0,1.0,False,9.79450249273891e-08,49014.01748078826,3602848.91375788,3612458.516086881,4002848.91375788,1.0,400000.0,0.0,0.0,0.0,420786.8714496108,420786.8714496108,0.1444253389291158,0.0,,,,,,,,,,,,,,initial climb,,,2.0,14306753.629286772
