Altitude	Mach	PSFC	SHP	Throttle
22413.7931	0.15	0.205047957	2068.440582	1
23275.86207	0.15	0.204252434	2031.256743	1
24137.93103	0.15	0.203602507	1993.073717	1
25000	0.15	0.202838699	1956.456523	1
0	0.18	0.269160724	2684.166655	1
862.0689655	0.18	0.264096244	2684.166655	1
1724.137931	0.18	0.259100733	2684.166655	1
2586.206897	0.18	0.254173626	2684.166655	1
3448.275862	0.18	0.249314357	2684.166655	1
4310.344828	0.18	0.244522362	2684.166655	1
5172.413793	0.18	0.239797076	2684.166655	1
6034.482759	0.18	0.235137937	2684.166655	1
6896.551724	0.18	0.230544384	2684.166655	1
7758.62069	0.18	0.226015854	2684.166655	1
8620.689655	0.18	0.221551787	2684.166655	1
9482.758621	0.18	0.217729564	2677.041839	1
10344.82759	0.18	0.216762912	2635.277474	1
11206.89655	0.18	0.215910196	2592.551134	1
12068.96552	0.18	0.214984226	2551.131709	1
12931.03448	0.18	0.214072031	2509.965841	1
13793.10345	0.18	0.21317418	2469.051213	1
14655.17241	0.18	0.212193836	2429.500542	1
15517.24138	0.18	0.21130139	2389.351166	1
16379.31034	0.18	0.210418664	2349.511361	1
17241.37931	0.18	0.209544824	2309.992747	1
18103.44828	0.18	0.208803241	2269.45568	1
18965.51724	0.18	0.20798455	2230.202233	1
19827.58621	0.18	0.207068908	2192.40682	1
20689.65517	0.18	0.206244564	2154.060537	1
21551.72414	0.18	0.205552401	2114.780082	1
22413.7931	0.18	0.204687236	2077.718137	1
23275.86207	0.18	0.203996947	2039.31781	1
24137.93103	0.18	0.203168596	2002.737442	1
25000	0.18	0.202512265	1964.904146	1
0	0.22	0.270394631	2684.166655	1
862.0689655	0.22	0.265305258	2684.166655	1
1724.137931	0.22	0.260285211	2684.166655	1
2586.206897	0.22	0.25533392	2684.166655	1
3448.275862	0.22	0.250450819	2684.166655	1
4310.344828	0.22	0.245635338	2684.166655	1
5172.413793	0.22	0.240886913	2684.166655	1
6034.482759	0.22	0.236204977	2684.166655	1
6896.551724	0.22	0.231588966	2684.166655	1
7758.62069	0.22	0.227038316	2684.166655	1
8620.689655	0.22	0.222552464	2684.166655	1
9482.758621	0.22	0.218130849	2684.166655	1
10344.82759	0.22	0.215986472	2656.657663	1
11206.89655	0.22	0.215157164	2613.318018	1
12068.96552	0.22	0.214247041	2571.396015	1
12931.03448	0.22	0.213350686	2529.733128	1
13793.10345	0.22	0.212468728	2488.326362	1
14655.17241	0.22	0.211494197	2448.418052	1
15517.24138	0.22	0.210615189	2407.817001	1
16379.31034	0.22	0.209745396	2367.5367	1
17241.37931	0.22	0.20898945	2326.414082	1
18103.44828	0.22	0.208169221	2286.455142	1
18965.51724	0.22	0.207271161	2247.776343	1
19827.58621	0.22	0.20645084	2208.677909	1
20689.65517	0.22	0.205738077	2168.877615	1
21551.72414	0.22	0.204975106	2130.06187	1
22413.7931	0.22	0.2041077	2092.761776	1
23275.86207	0.22	0.203446102	2053.795365	1
24137.93103	0.22	0.20261353	2017.001622	1
25000	0.22	0.201991153	1978.565946	1
0	0.25	0.271484193	2684.166655	1
862.0689655	0.25	0.26637284	2684.166655	1
1724.137931	0.25	0.261331127	2684.166655	1
2586.206897	0.25	0.256358483	2684.166655	1
3448.275862	0.25	0.251454337	2684.166655	1
4310.344828	0.25	0.246618119	2684.166655	1
5172.413793	0.25	0.241849261	2684.166655	1
6034.482759	0.25	0.237147195	2684.166655	1
6896.551724	0.25	0.232511354	2684.166655	1
7758.62069	0.25	0.227941172	2684.166655	1
8620.689655	0.25	0.223436082	2684.166655	1
9482.758621	0.25	0.218995523	2684.166655	1
10344.82759	0.25	0.215409593	2674.314389	1
11206.89655	0.25	0.214500086	2631.68031	1
12068.96552	0.25	0.213603829	2589.312264	1
12931.03448	0.25	0.212721356	2547.208072	1
13793.10345	0.25	0.211853351	2505.364074	1
14655.17241	0.25	0.21088301	2465.149643	1
15517.24138	0.25	0.210015601	2424.149757	1
16379.31034	0.25	0.20915693	2383.48096	1
17241.37931	0.25	0.208422863	2341.84273	1
18103.44828	0.25	0.207616274	2301.475677	1
18965.51724	0.25	0.206720565	2262.526682	1
19827.58621	0.25	0.205910289	2223.070355	1
20689.65517	0.25	0.205220729	2182.767476	1
21551.72414	0.25	0.204376023	2144.564398	1
22413.7931	0.25	0.203600276	2106.071941	1
23275.86207	0.25	0.20296663	2066.573853	1
24137.93103	0.25	0.202220925	2028.683199	1
25000	0.25	0.201424455	1991.741087	1
0	0.28	0.272715296	2684.166655	1
862.0689655	0.28	0.26757911	2684.166655	1
1724.137931	0.28	0.262512917	2684.166655	1
2586.206897	0.28	0.257516146	2684.166655	1
3448.275862	0.28	0.252588222	2684.166655	1
4310.344828	0.28	0.247728574	2684.166655	1
5172.413793	0.28	0.242936629	2684.166655	1
6034.482759	0.28	0.238211818	2684.166655	1
6896.551724	0.28	0.233553571	2684.166655	1
7758.62069	0.28	0.228961318	2684.166655	1
8620.689655	0.28	0.224434492	2684.166655	1
9482.758621	0.28	0.219972526	2684.166655	1
10344.82759	0.28	0.215574855	2684.166655	1
11206.89655	0.28	0.2137664	2652.455266	1
12068.96552	0.28	0.212885679	2609.580592	1
12931.03448	0.28	0.212018784	2566.974902	1
13793.10345	0.28	0.211063342	2525.867275	1
14655.17241	0.28	0.210199712	2484.085734	1
15517.24138	0.28	0.209345099	2442.635397	1
16379.31034	0.28	0.20859805	2400.383995	1
17241.37931	0.28	0.207790392	2359.289207	1
18103.44828	0.28	0.206999265	2318.45693	1
18965.51724	0.28	0.206104569	2279.220173	1
19827.58621	0.28	0.205305162	2239.361999	1
20689.65517	0.28	0.204643662	2198.46565	1
21551.72414	0.28	0.203798336	2160.001274	1
22413.7931	0.28	0.20313621	2120.049999	1
23275.86207	0.28	0.202327092	2082.090729	1
24137.93103	0.28	0.201697846	2042.741329	1
25000	0.28	0.200989301	2004.668642	1
0	0.3	0.273615095	2684.166655	1
862.0689655	0.3	0.268460758	2684.166655	1
1724.137931	0.3	0.263376675	2684.166655	1
2586.206897	0.3	0.25836227	2684.166655	1
3448.275862	0.3	0.253416968	2684.166655	1
4310.344828	0.3	0.248540195	2684.166655	1
5172.413793	0.3	0.243731377	2684.166655	1
6034.482759	0.3	0.238989941	2684.166655	1
6896.551724	0.3	0.234315317	2684.166655	1
7758.62069	0.3	0.229706934	2684.166655	1
8620.689655	0.3	0.225164221	2684.166655	1
9482.758621	0.3	0.220686609	2684.166655	1
10344.82759	0.3	0.216273532	2684.166655	1
11206.89655	0.3	0.213235959	2667.657313	1
12068.96552	0.3	0.212366512	2624.410515	1
12931.03448	0.3	0.211510939	2581.436281	1
13793.10345	0.3	0.21055921	2540.065909	1
14655.17241	0.3	0.209705083	2497.946947	1
15517.24138	0.3	0.208859607	2456.167646	1
16379.31034	0.3	0.208129921	2413.487118	1
17241.37931	0.3	0.207333281	2372.048946	1
18103.44828	0.3	0.206456399	2331.970042	1
18965.51724	0.3	0.205658327	2291.440072	1
19827.58621	0.3	0.204968665	2250.168265	1
20689.65517	0.3	0.204226959	2209.940443	1
21551.72414	0.3	0.203379496	2171.303154	1
22413.7931	0.3	0.202738315	2130.923713	1
23275.86207	0.3	0.201925673	2092.809516	1
24137.93103	0.3	0.201321174	2053.0048	1
25000	0.3	0.200622489	2014.642116	1
0	0.32	0.274578473	2684.166655	1
862.0689655	0.32	0.269404705	2684.166655	1
1724.137931	0.32	0.264301467	2684.166655	1
2586.206897	0.32	0.259268183	2684.166655	1
3448.275862	0.32	0.254304275	2684.166655	1
4310.344828	0.32	0.249409167	2684.166655	1
5172.413793	0.32	0.244582283	2684.166655	1
6034.482759	0.32	0.23982305	2684.166655	1
6896.551724	0.32	0.235130892	2684.166655	1
7758.62069	0.32	0.230505237	2684.166655	1
8620.689655	0.32	0.225945514	2684.166655	1
9482.758621	0.32	0.221451151	2684.166655	1
10344.82759	0.32	0.217021579	2684.166655	1
11206.89655	0.32	0.212673406	2683.949849	1
12068.96552	0.32	0.21181596	2640.30285	1
12931.03448	0.32	0.21087714	2598.105926	1
13793.10345	0.32	0.210024027	2555.287762	1
14655.17241	0.32	0.209179889	2512.807573	1
15517.24138	0.32	0.208343988	2470.676446	1
16379.31034	0.32	0.207633505	2427.525549	1
17241.37931	0.32	0.20684868	2385.71729	1
18103.44828	0.32	0.205973571	2345.395972	1
18965.51724	0.32	0.20518416	2304.541793	1
19827.58621	0.32	0.204514794	2262.812559	1
20689.65517	0.32	0.203690161	2223.266998	1
21551.72414	0.32	0.202934044	2183.423138	1
22413.7931	0.32	0.202317144	2142.561818	1
23275.86207	0.32	0.201498224	2104.308553	1
24137.93103	0.32	0.200813713	2065.106764	1
25000	0.32	0.200130904	2026.361112	1
0	0.35	0.276143419	2684.166655	1
862.0689655	0.35	0.270938087	2684.166655	1
1724.137931	0.35	0.265803736	2684.166655	1
2586.206897	0.35	0.260739785	2684.166655	1
3448.275862	0.35	0.255745654	2684.166655	1
4310.344828	0.35	0.250820764	2684.166655	1
5172.413793	0.35	0.245964534	2684.166655	1
6034.482759	0.35	0.241176388	2684.166655	1
6896.551724	0.35	0.236455748	2684.166655	1
7758.62069	0.35	0.231802038	2684.166655	1
8620.689655	0.35	0.227214683	2684.166655	1
9482.758621	0.35	0.222693108	2684.166655	1
10344.82759	0.35	0.21823674	2684.166655	1
11206.89655	0.35	0.213845007	2684.166655	1
12068.96552	0.35	0.210933182	2666.149741	1
12931.03448	0.35	0.210001227	2623.478422	1
13793.10345	0.35	0.20916451	2580.05923	1
14655.17241	0.35	0.208336175	2536.992603	1
15517.24138	0.35	0.207619253	2493.042875	1
16379.31034	0.35	0.206837612	2450.349296	1
17241.37931	0.35	0.206072061	2407.93398	1
18103.44828	0.35	0.205197536	2367.244541	1
18965.51724	0.35	0.204517047	2324.781167	1
19827.58621	0.35	0.203787716	2283.358	1
20689.65517	0.35	0.202961732	2243.47733	1
21551.72414	0.35	0.202324933	2201.978141	1
22413.7931	0.35	0.201534755	2162.624144	1
23275.86207	0.35	0.200929403	2121.765611	1
24137.93103	0.35	0.200241161	2082.274723	1
25000	0.35	0.199578095	2043.002168	1
0	0.38	0.277853206	2684.166655	1
862.0689655	0.38	0.272613392	2684.166655	1
1724.137931	0.38	0.267445051	2684.166655	1
2586.206897	0.38	0.262347598	2684.166655	1
3448.275862	0.38	0.257320448	2684.166655	1
4310.344828	0.38	0.252363019	2684.166655	1
5172.413793	0.38	0.247474729	2684.166655	1
6034.482759	0.38	0.242654995	2684.166655	1
6896.551724	0.38	0.237903237	2684.166655	1
7758.62069	0.38	0.233218875	2684.166655	1
8620.689655	0.38	0.228601331	2684.166655	1
9482.758621	0.38	0.224050025	2684.166655	1
10344.82759	0.38	0.219564381	2684.166655	1
11206.89655	0.38	0.215143822	2684.166655	1
12068.96552	0.38	0.210787774	2684.166655	1
12931.03448	0.38	0.209058354	2651.263448	1
13793.10345	0.38	0.208238989	2607.187599	1
14655.17241	0.38	0.207427294	2563.481307	1
15517.24138	0.38	0.206743938	2518.675477	1
16379.31034	0.38	0.205982837	2475.309462	1
17241.37931	0.38	0.205128133	2433.530689	1
18103.44828	0.38	0.204360909	2391.173471	1
18965.51724	0.38	0.203715618	2347.881281	1
19827.58621	0.38	0.202910741	2306.911864	1
20689.65517	0.38	0.202175351	2265.618435	1
21551.72414	0.38	0.201580084	2223.253368	1
22413.7931	0.38	0.200780134	2183.631812	1
23275.86207	0.38	0.200115212	2143.013335	1
24137.93103	0.38	0.199451593	2102.87186	1
25000	0.38	0.198797659	2063.118478	1
0	0.4	0.279074119	2684.166655	1
862.0689655	0.4	0.273809685	2684.166655	1
