,Altitude,Mach,PSFC,SHP,Throttle
0,0.0,0.01,0.269647692053525,2139.2808239565265,1.0
1,1034.4827586206898,0.01,0.26352189201179066,2139.2808239565265,1.0
2,2068.9655172413795,0.01,0.2574966469810689,2139.2808239565265,1.0
3,3103.4482758620693,0.01,0.2515709812233943,2139.2808239565265,1.0
4,4137.931034482759,0.01,0.2457439196060287,2139.2808239565265,1.0
5,5172.413793103449,0.01,0.2416931299404634,2124.422780119648,1.0
6,6206.896551724139,0.01,0.24007490740862636,2088.5493920676795,1.0
7,7241.379310344828,0.01,0.23847775725405496,2052.8661135899642,1.0
8,8275.862068965518,0.01,0.23690135772322127,2017.3802782301607,1.0
9,9310.344827586208,0.01,0.23534537480064607,1982.099232180216,1.0
10,10344.827586206899,0.01,0.23392733116767486,1946.0492726863154,1.0
11,11379.310344827587,0.01,0.2324279852349936,1911.0725165735962,1.0
12,12413.793103448277,0.01,0.23095075111579347,1876.3034260808593,1.0
13,13448.275862068967,0.01,0.22949572031380427,1841.7463348819817,1.0
14,14482.758620689656,0.01,0.22806304574978,1807.4051491251248,1.0
15,15517.241379310346,0.01,0.22665295414210657,1773.2832793548325,1.0
16,16551.724137931036,0.01,0.22526576206835897,1739.3835523588712,1.0
17,17586.206896551725,0.01,0.223798005905288,1706.4999166284106,1.0
18,18620.689655172417,0.01,0.2224364218500668,1673.2017102149036,1.0
19,19655.172413793105,0.01,0.22109432082591685,1640.162853020656,1.0
20,20689.655172413797,0.01,0.21977127282363315,1607.3907750814305,1.0
21,21724.137931034486,0.01,0.21846671028793122,1574.8937041391976,1.0
22,22758.620689655174,0.01,0.21728745859730203,1541.9171505723048,1.0
23,23793.103448275866,0.01,0.21604775809114676,1509.798292436214,1.0
24,24827.586206896554,0.01,0.21483305487507232,1477.9274383823436,1.0
25,25862.068965517243,0.01,0.21354467986699519,1446.978889734385,1.0
26,26896.551724137935,0.01,0.21234881937644232,1415.8188837674725,1.0
27,27931.034482758627,0.01,0.21116985159040091,1384.9711250546222,1.0
28,28965.51724137931,0.01,0.21013202081402826,1353.6380190489401,1.0
29,29999.999999999996,0.01,0.20903683557137778,1323.1214670686861,1.0
30,0.0,0.05,0.26983726956841303,2139.2808239565265,1.0
31,1034.4827586206898,0.05,0.2637068968077942,2139.2808239565265,1.0
32,2068.9655172413795,0.05,0.25767715624347015,2139.2808239565265,1.0
33,3103.4482758620693,0.05,0.25174707151847814,2139.2808239565265,1.0
34,4137.931034482759,0.05,0.24591566687402205,2139.2808239565265,1.0
35,5172.413793103449,0.05,0.2415166081296152,2127.458980188257,1.0
36,6206.896551724139,0.05,0.23990252901543643,2091.50616147736,1.0
37,7241.379310344828,0.05,0.2383094310370319,2055.7449551614372,1.0
38,8275.862068965518,0.05,0.23673699349238636,2020.1826888601918,1.0
39,9310.344827586208,0.05,0.23528907679484992,1983.9477586916817,1.0
40,10344.827586206899,0.05,0.2337715629798687,1948.693466492006,1.0
41,11379.310344827587,0.05,0.23227605302981022,1913.643448003024,1.0
42,12413.793103448277,0.05,0.23080259022919836,1878.8023840845879,1.0
43,13448.275862068967,0.05,0.22935127000113695,1844.1745782754624,1.0
44,14482.758620689656,0.05,0.2279222496185187,1809.7639032606364,1.0
45,15517.241379310346,0.05,0.2265157607247875,1775.5737318788963,1.0
46,16551.724137931036,0.05,0.22513212558016596,1741.6068477754204,1.0
47,17586.206896551725,0.05,0.2236668193334528,1708.6667700565083,1.0
48,18620.689655172417,0.05,0.22230848942273418,1675.3054343963233,1.0
49,19655.172413793105,0.05,0.22096956298683107,1642.204847960234,1.0
50,20689.655172413797,0.05,0.21964960551729498,1609.3724696899872,1.0
51,21724.137931034486,0.05,0.2183480427437884,1576.8165708021136,1.0
52,22758.620689655174,0.05,0.2171730513163946,1543.7717185927415,1.0
53,23793.103448275866,0.05,0.21593653823551734,1511.5941917623468,1.0
54,24827.586206896554,0.05,0.21472502332575294,1479.6654841924778,1.0
55,25862.068965517243,0.05,0.21343835350777177,1448.6710940830415,1.0
56,26896.551724137935,0.05,0.21224519020827157,1417.4583548761711,1.0
57,27931.034482758627,0.05,0.21106877888234662,1386.5596196173683,1.0
58,28965.51724137931,0.05,0.21003555209589173,1355.161850562277,1.0
59,29999.999999999996,0.05,0.2088475032251901,1325.2009106237451,1.0
60,0.0,0.12,0.27077815007524997,2139.2808239565265,1.0
61,1034.4827586206898,0.12,0.2646250842344523,2139.2808239565265,1.0
62,2068.9655172413795,0.12,0.25857303349461336,2139.2808239565265,1.0
63,3103.4482758620693,0.12,0.252621018435628,2139.2808239565265,1.0
64,4137.931034482759,0.12,0.24676806020023212,2139.2808239565265,1.0
65,5172.413793103449,0.12,0.2410131806107207,2139.2808239565265,1.0
66,6206.896551724139,0.12,0.2390522225063582,2106.197941365375,1.0
67,7241.379310344828,0.12,0.23747905952753534,2070.0492967255777,1.0
68,8275.862068965518,0.12,0.23592611393538776,2034.107053916158,1.0
69,9310.344827586208,0.12,0.2345014121169511,1997.4551434362058,1.0
70,10344.827586206899,0.12,0.23300312666271616,1961.8299663495682,1.0
71,11379.310344827587,0.12,0.23152651235953808,1926.4156071373825,1.0
72,12413.793103448277,0.12,0.23007163039189693,1891.2166076059145,1.0
73,13448.275862068967,0.12,0.22863859576690396,1856.2371187176154,1.0
74,14482.758620689656,0.12,0.22722758757624575,1821.4808434170368,1.0
75,15517.241379310346,0.12,0.22583886223701247,1786.9509629136246,1.0
76,16551.724137931036,0.12,0.2244727706876829,1752.6500411596762,1.0
