,Altitude,Mach,PSFC,SHP,Throttle
0,0.0,0.01,0.26582590398858863,2080.229157548693,1.0
1,1034.4827586206898,0.01,0.2597781015333325,2080.229157548693,1.0
2,2068.9655172413795,0.01,0.25600183801196685,2062.5782240997937,1.0
3,3103.4482758620693,0.01,0.25417425787477343,2029.5300961537139,1.0
4,4137.931034482759,0.01,0.25237141770131793,1996.6106297122774,1.0
5,5172.413793103449,0.01,0.25059295523527575,1963.8272335331606,1.0
6,6206.896551724139,0.01,0.24883851387108585,1931.1872193118681,1.0
7,7241.379310344828,0.01,0.2471077403320125,1898.6978156195876,1.0
8,8275.862068965518,0.01,0.24540028188254748,1866.3661844208443,1.0
9,9310.344827586208,0.01,0.24371578295590163,1834.1994407578018,1.0
10,10344.827586206899,0.01,0.24205388104599057,1802.2046763348876,1.0
11,11379.310344827587,0.01,0.2404142016727842,1770.388987926639,1.0
12,12413.793103448277,0.01,0.23891581111144677,1737.8901245336795,1.0
13,13448.275862068967,0.01,0.2373367188596235,1706.339335865715,1.0
14,14482.758620689656,0.01,0.23578153925985548,1674.971387859613,1.0
15,15517.241379310346,0.01,0.23425035023877067,1643.7905659180658,1.0
16,16551.724137931036,0.01,0.23274329638798266,1612.8007484038274,1.0
17,17586.206896551725,0.01,0.23126060244948693,1582.0053415780085,1.0
18,18620.689655172417,0.01,0.22980259088293295,1551.4071950219536,1.0
19,19655.172413793105,0.01,0.2282629950619313,1521.719541874864,1.0
20,20689.655172413797,0.01,0.22683325048894037,1491.6603189308896,1.0
21,21724.137931034486,0.01,0.22542453491271713,1461.833520024125,1.0
22,22758.620689655174,0.01,0.22403636999938115,1432.2463170769047,1.0
23,23793.103448275866,0.01,0.22266812560394747,1402.906653162521,1.0
24,24827.586206896554,0.01,0.22143156115309662,1373.124927703621,1.0
25,25862.068965517243,0.01,0.22013283123573896,1344.120920566097,1.0
26,26896.551724137935,0.01,0.21886104888032198,1315.339195054582,1.0
27,27931.034482758627,0.01,0.21751103822075252,1287.407754839765,1.0
28,28965.51724137931,0.01,0.21625926800354248,1259.274950157328,1.0
29,29999.999999999996,0.01,0.2150254047831999,1231.4268522960651,1.0
30,0.0,0.05,0.26601339711176447,2080.229157548693,1.0
31,1034.4827586206898,0.05,0.25996107591456075,2080.229157548693,1.0
32,2068.9655172413795,0.05,0.2557956162134722,2065.6929575952463,1.0
33,3103.4482758620693,0.05,0.25397295257738123,2032.565287121542,1.0
34,4137.931034482759,0.05,0.25217491928490765,1999.567712971632,1.0
35,5172.413793103449,0.05,0.2504011565369668,1966.7076327241925,1.0
36,6206.896551724139,0.05,0.24865130999505647,1933.9923476594358,1.0
37,7241.379310344828,0.05,0.24692502844289413,1901.4290768296567,1.0
38,8275.862068965518,0.05,0.2452219609776333,1869.024973737591,1.0
39,9310.344827586208,0.05,0.24354175361029076,1836.787146215767,1.0
40,10344.827586206899,0.05,0.24188404512330866,1804.7226802491218,1.0
41,11379.310344827587,0.05,0.240248461992289,1772.8386686740664,1.0
42,12413.793103448277,0.05,0.23875502161441747,1740.2641490208832,1.0
