Altitude,FR,F_prop,Mach,Ratio,eta
2586.206897,924.4045791,16214.56482,0.2,0.057010755,0.9
3448.275862,924.6440143,16129.79313,0.2,0.057325225,0.9
4310.344828,916.6379528,15923.67471,0.2,0.057564474,0.9
5172.413793,908.6321555,15717.786,0.2,0.05780917,0.9
6034.482759,900.6281854,15512.16506,0.2,0.058059477,0.9
6896.551724,892.6276232,15306.84993,0.2,0.058315566,0.9
7758.62069,884.6320741,15101.87867,0.2,0.058577618,0.9
8620.689655,876.6431759,14897.28947,0.2,0.058845817,0.9
9482.758621,868.6626085,14693.12064,0.2,0.059120362,0.9
10344.82759,860.6921051,14489.41076,0.2,0.059401457,0.9
11206.89655,852.2763616,14279.95599,0.2,0.059683403,0.9
12068.96552,844.2788485,14076.61984,0.2,0.059977385,0.9
12931.03448,836.2899846,13873.77812,0.2,0.06027846,0.9
13793.10345,828.3371207,13671.81028,0.2,0.06058723,0.9
14655.17241,820.1415526,13469.70211,0.2,0.060887876,0.9
15517.24138,812.1560986,13268.51235,0.2,0.061209281,0.9
16379.31034,804.1785665,13067.92472,0.2,0.061538353,0.9
17241.37931,796.2089718,12867.96256,0.2,0.061875294,0.9
18103.44828,788.2471012,12668.64723,0.2,0.062220306,0.9
18965.51724,780.7195309,12475.39891,0.2,0.062580727,0.9
19827.58621,772.8430572,12278.2809,0.2,0.062943914,0.9
20689.65517,764.9854989,12082.01187,0.2,0.063316069,0.9
21551.72414,757.1480765,11886.6326,0.2,0.063697441,0.9
22413.7931,749.5642655,11692.17611,0.2,0.064108192,0.9
23275.86207,741.8175571,11498.70797,0.2,0.064513123,0.9
24137.93103,733.6620259,11300.99348,0.2,0.064920135,0.9
25000,725.8879412,11108.50493,0.2,0.065345242,0.9
0,670.7225677,11628.7244,0.3,0.057678086,0.9
862.0689655,680.3174125,11641.73598,0.3,0.058437798,0.9
1724.137931,690.9530207,11664.32273,0.3,0.059236446,0.9
2586.206897,702.1472712,11694.7784,0.3,0.060039382,0.9
3448.275862,712.4818265,11713.6401,0.3,0.060824972,0.9
4310.344828,722.8881498,11732.16645,0.3,0.061615913,0.9
5172.413793,730.1278473,11712.17844,0.3,0.062339201,0.9
6034.482759,726.9354348,11569.88448,0.3,0.062829965,0.9
6896.551724,723.6458516,11427.72275,0.3,0.063323714,0.9
7758.62069,720.2623891,11285.71643,0.3,0.063820706,0.9
8620.689655,716.7883667,11143.88896,0.3,0.064321205,0.9
9482.758621,712.7979287,10997.38452,0.3,0.064815223,0.9
10344.82759,709.1045409,10855.47456,0.3,0.065322298,0.9
11206.89655,705.3244813,10713.75275,0.3,0.06583356,0.9
12068.96552,701.4603619,10572.23527,0.3,0.066349295,0.9
12931.03448,697.5410668,10431.2283,0.3,0.066870463,0.9
