,TP_total_temperature,TP_total_pressure
0,"[101325.00000061248, 101325.00000061248, 500.2298141636635, 684.8069131754396, 1422.1443156966898, 1255.693424846364, 1066.169019310085, 858.0576069072605, 858.0576069072605]","[101325.00000061248, 101325.00000061248, 522854.3005631023, 1316413.904734572, 1224264.931403152, 674819.6385918934, 308435.00744417444, 111719.93547444395, 111719.93547444395]"
1,"[101325.00079355345, 101325.00079355345, 500.2298144018844, 684.8069130602595, 1422.144312973777, 1255.6934224178697, 1066.1690172308893, 858.0576051591635, 858.0576051591635]","[101325.00079355345, 101325.00079355345, 522854.3019176199, 1316413.9056508448, 1224264.9322552858, 674819.6389991615, 308435.0076064571, 111719.93548771113, 111719.93548771113]"
2,"[101325.00308590829, 101325.00308590829, 500.2298150926171, 684.8069127311079, 1422.1443051156912, 1255.6934154094372, 1066.1690112304857, 858.0576001112531, 858.0576001112531]","[101325.00308590829, 101325.00308590829, 522854.3058398316, 1316413.9083215701, 1224264.9347390602, 674819.6401880246, 308435.0080809468, 111719.93552638171, 111719.93552638171]"
3,"[101325.00687659487, 101325.00687659487, 500.22981623451085, 684.806912186224, 1422.1442921192724, 1255.6934038182544, 1066.1690013064754, 858.0575917630318, 858.0575917630318]","[101325.00687659487, 101325.00687659487, 522854.31232470024, 1316413.9127345663, 1224264.9388431467, 674819.6421521821, 308435.0088647485, 111719.93559027938, 111719.93559027938]"
4,"[101325.0121645312, 101325.0121645312, 500.22981782662515, 684.8069114246141, 1422.1442739841104, 1255.6933876439596, 1066.1689874585538, 858.0575801151556, 858.0575801151556]","[101325.0121645312, 101325.0121645312, 522854.32136846334, 1316413.9188820184, 1224264.9445602773, 674819.644887628, 308435.00995603506, 111719.93567929105, 111719.93567929105]"
5,"[101325.01894863528, 101325.01894863528, 500.22981987003936, 684.8069104490619, 1422.144250723338, 1255.6933668982565, 1066.1689696967298, 858.0575651739584, 858.0575651739584]","[101325.01894863528, 101325.01894863528, 522854.33297363983, 1316413.9267776515, 1224264.951903216, 674819.6484016773, 308435.0113582481, 111719.93579361543, 111719.93579361543]"
6,"[101325.02722782566, 101325.02722782566, 500.22982236316903, 684.8069092573692, 1422.144222332225, 1255.6933415769345, 1066.1689480174086, 858.057546938284, 858.057546938284]","[101325.02722782566, 101325.02722782566, 522854.347134466, 1316413.9364067884, 1224264.9608583134, 674819.6526867172, 308435.01306788163, 111719.93593304, 111719.93593304]"
7,"[101325.03700102073, 101325.03700102073, 500.22982530738597, 684.8069078528663, 1422.1441888258632, 1255.6933116934429, 1066.1689224320912, 858.0575254152876, 858.0575254152876]","[101325.03700102073, 101325.03700102073, 522854.3638543692, 1316413.9477862664, 1224264.971441228, 674819.657751698, 308435.01508913917, 111719.93609780834, 111719.93609780834]"
8,"[101325.04826713924, 101325.04826713924, 500.22982870040374, 684.8069062320421, 1422.144150194815, 1255.6932772393766, 1066.1688929335976, 858.0575006018395, 858.0575006018395]","[101325.04826713924, 101325.04826713924, 522854.3831254038, 1316413.9608939262, 1224264.9836313515, 674819.6635850751, 308435.01741668384, 111719.9362875999, 111719.9362875999]"
9,"[101325.0610251002, 101325.0610251002, 500.2298325427451, 684.806904396639, 1422.144106448477, 1255.693238223111, 1066.1688595290912, 858.0574725027066, 858.0574725027066]","[101325.0610251002, 101325.0610251002, 522854.40494835796, 1316413.975737553, 1224264.9974359244, 674819.670191041, 308435.02005250414, 111719.93650252727, 111719.93650252727]"
10,"[101325.07527382264, 101325.07527382264, 500.2298368342312, 684.806902347087, 1422.144057591542, 1255.6931946488305, 1066.1688222221537, 858.0574411206836, 858.0574411206836]","[101325.07527382264, 101325.07527382264, 522854.42932183866, 1316413.9923174551, 1224265.0128552334, 674819.6775698599, 308435.0229967606, 111719.93674259506, 111719.93674259506]"
11,"[101325.09101222602, 101325.09101222602, 500.22984157471194, 684.8069000838697, 1422.144003628893, 1255.6931465208895, 1066.168781016512, 858.0574064586443, 858.0574064586443]","[101325.09101222602, 101325.09101222602, 522854.4562445428, 1316414.0106342442, 1224265.0298898472, 674819.6857219544, 308435.02624968794, 111719.93700781176, 111719.93700781176]"
12,"[101325.10823922967, 101325.10823922967, 500.22984676339365, 684.8068976062674, 1422.1439445610981, 1255.6930938397973, 1066.1687359126051, 858.0573685176547, 858.0573685176547]","[101325.10823922967, 101325.10823922967, 522854.48571316537, 1316414.0306816716, 1224265.0485339547, 674819.6946441409, 308435.02980983973, 111719.93729808733, 111719.93729808733]"
13,"[101325.12695375337, 101325.12695375337, 500.2298523999215, 684.8068949143809, 1422.143880391668, 1255.6930366086847, 1066.168686913115, 858.0573273000126, 858.0573273000126]","[101325.12695375337, 101325.12695375337, 522854.51772576716, 1316414.0524581685, 1224265.0687860968, 674819.7043356961, 308435.03367691813, 111719.93761339871, 111719.93761339871]"
14,"[101325.14715471708, 101325.14715471708, 500.2298584839705, 684.8068920083659, 1422.1438111243094, 1255.6929748308585, 1066.1686340208719, 858.0572828080991, 858.0572828080991]","[101325.14715471708, 101325.14715471708, 522854.5522805012, 1316414.0759624792, 1224265.0906451058, 674819.7147960631, 308435.0378507002, 111719.93795372803, 111719.93795372803]"
15,"[101325.16884104091, 101325.16884104091, 500.229865015215, 684.8068888883782, 1422.143736762727, 1255.6929085096222, 1066.1685772387043, 858.0572350442936, 858.0572350442936]","[101325.16884104091, 101325.16884104091, 522854.5893755188, 1316414.1011933468, 1224265.1141098125, 674819.7260246805, 308435.04233096156, 111719.93831905686, 111719.93831905686]"
16,"[101325.19201164502, 101325.19201164502, 500.2298719939444, 684.8068855557228, 1422.143657314748, 1255.692837651953, 1066.1685165725812, 858.057184012705, 858.057184012705]","[101325.19201164502, 101325.19201164502, 522854.62901088374, 1316414.1281560673, 1224265.1391851427, 674819.7380244335, 308435.0471190833, 111719.93870946195, 111719.93870946195]"
17,"[101325.21666545005, 101325.21666545005, 500.229879419248, 684.8068820094601, 1422.1435727801513, 1255.6927622576575, 1066.1684520223416, 858.0571297140666, 858.0571297140666]","[101325.21666545005, 101325.21666545005, 522854.6711829285, 1316414.1568431421, 1224265.1658641223, 674819.7507914825, 308435.0522133147, 111719.93912483474, 111719.93912483474]"
18,"[101325.24280137665, 101325.24280137665, 500.2298872910644, 684.806878250239, 1422.1434831644092, 1255.6926823316146, 1066.1683835921608, 858.0570721514987, 858.0570721514987]","[101325.24280137665, 101325.24280137665, 522854.7158906264, 1316414.1872561278, 1224265.194148199, 674819.7643267468, 308435.05761412147, 111719.93956519781, 111719.93956519781]"
19,"[101325.2704183456, 101325.2704183456, 500.2298956093313, 684.8068742787071, 1422.14338847299, 1255.6925978786996, 1066.1683112862102, 858.0570113281207, 858.0570113281207]","[101325.2704183456, 101325.2704183456, 522854.7631329483, 1316414.2193965719, 1224265.2240388119, 674819.7786311401, 308435.0633219652, 111719.94003057331, 111719.94003057331]"
