,TP_total_temperature,TP_total_pressure
4627,"[80015.09124103967, 80015.09124103967, 372.46951573026007, 454.4436768304635, 631.601037543781, 552.8522434619314, 466.4457782354716, 464.6323497956337, 464.6323497956337]","[80015.09124103967, 80015.09124103967, 190470.97813702127, 341832.57326067047, 317904.29313242354, 168093.44432042463, 74535.94897817589, 73190.47244306187, 73190.47244306187]"
4628,"[80182.90872798306, 80182.90872798306, 372.6227633739156, 454.6393502102518, 631.927922730532, 553.1420851601185, 466.69125147932607, 464.88042131702207, 464.88042131702207]","[80182.90872798306, 80182.90872798306, 190890.8447565905, 342605.36674756743, 318622.99107523775, 168478.87092250178, 74707.56829281611, 73361.61550587589, 73361.61550587589]"
4629,"[80350.88724742507, 80350.88724742507, 372.7758824281947, 454.8348379704185, 632.2543685061133, 553.4315374023942, 466.93639511475345, 465.1281567176931, 465.1281567176931]","[80350.88724742507, 80350.88724742507, 191311.09878958727, 343378.8614490888, 319342.3411476526, 168864.65425955626, 74879.34753207267, 73532.91921555634, 73532.91921555634]"
4630,"[80519.02671254381, 80519.02671254381, 372.92887313564177, 455.0301405399501, 632.5803763070393, 553.7206014618616, 467.181210219054, 465.3755570997678, 465.3755570997678]","[80519.02671254381, 80519.02671254381, 191731.74004412146, 344153.0570228274, 320062.3430312295, 169250.7941646567, 75051.28662230009, 73704.3834981781, 73704.3834981781]"
4631,"[80687.32703675075, 80687.32703675075, 373.08173573457117, 455.22525833952614, 632.9059475384105, 554.0092785837592, 467.4256978459155, 465.6226235462931, 465.6226235462931]","[80687.32703675075, 80687.32703675075, 192152.76832318236, 344927.9531119028, 320782.99639406963, 169637.29046331148, 75223.38548643129, 73876.00827986318, 73876.00827986318]"
4632,"[80855.78813368925, 80855.78813368925, 373.23447046610494, 455.4201917946865, 633.231083621145, 554.2975700273681, 467.66985906094266, 465.8693571476973, 465.8693571476973]","[80855.78813368925, 80855.78813368925, 192574.18343538785, 345703.5493744174, 321504.3009182082, 170024.1429887799, 75395.6440508979, 74047.7934869644, 74047.7934869644]"
4633,"[81024.40991723356, 81024.40991723356, 373.3870775681708, 455.61494132461064, 633.5557859517652, 554.5854770303318, 467.91369491140625, 466.1157589792842, 466.1157589792842]","[81024.40991723356, 81024.40991723356, 192995.98518579814, 346479.8454582856, 322226.2562762056, 170411.3515689893, 75568.06223971662, 74219.73904590799, 74219.73904590799]"
4634,"[81193.19230148762, 81193.19230148762, 373.5395572802311, 455.80950735096746, 633.8800559341521, 554.8730008368309, 468.15720645013073, 466.3618301190211, 466.3618301190211]","[81193.19230148762, 81193.19230148762, 193418.17338316212, 347256.84102109383, 322948.8621496173, 170798.9160368576, 75740.63997915569, 74391.84488331694, 74391.84488331694]"
4635,"[81362.1352007839, 81362.1352007839, 373.69190983779305, 456.0038902876525, 634.2038949427641, 555.1601426649471, 468.4003947078247, 466.6075716269554, 466.6075716269554]","[81362.1352007839, 81362.1352007839, 193840.74783147074, 348034.5357069545, 323672.11820746766, 171186.83621826224, 75913.37719229619, 74564.1109258661, 74564.1109258661]"
4636,"[81531.23852968233, 81531.23852968233, 373.8441354802845, 456.1980905555221, 634.5273043754875, 555.4469037535582, 468.64326073283826, 466.852984574814, 466.852984574814]","[81531.23852968233, 81531.23852968233, 194263.7083420825, 348812.92917973787, 324396.02413715626, 171575.11194931556, 76086.2738068408, 74736.53710048943, 74736.53710048943]"
