,mass,true_airspeed,altitude,ground_distance,fuel_mass,time,DISA,engine_setting,mach,equivalent_airspeed,CL,CD,drag,thrust_rate,EM_power_rate,TP_power_rate,thrust_is_regulated,psfc,thrust,TPshaft_power,thermo_power,shaft_power,power_rate,EMshaft_power,FC_power,FC_stack_power,H2_fc,BAT_ec,BAT_power,slope_angle,acceleration,CT,TP_thermal_efficiency,TP_air_flow,FC_efficiency,FC_airflow,V_cell,V_stack,V_pack,V_core,I_cell,I_stack,I_pack,I_core,name,ceiling,max_mach,delta_time,BAT_energy
2861,22935.6937519467,135.26317359515494,1039.9833783538568,359279.8350909638,617.9111186460428,2611.4633719501735,0.0,3,0.4022338044217767,128.60000000217985,0.3706490900007706,0.031007113428573818,18816.158226531472,0.3060522219799217,0.0,0.30043770214105475,True,1.5351075160834018e-07,7039.253031559563,1082431.6488108127,3629459.2843400324,1082431.6488108127,0.26907091765464203,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235987755982989,0.0,,,,,,,,,,,,,,descent,,,2.0,853006222.640445
2862,22935.36142215475,135.16908638600955,1025.8251232847413,359549.99069119734,618.2436747096817,2613.4633719501735,0.0,3,0.4018883026731509,128.60000000217985,0.37064371943137364,0.03100700302287239,18816.09122864235,0.30584899387284425,0.0,0.300233174070885,True,1.5371991913805745e-07,7039.356676708128,1081694.7650753686,3628729.9050660687,1081694.7650753686,0.2688877430559331,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235987755982988,0.0,,,,,,,,,,,,,,descent,,,2.0,853006222.640445
2863,22935.02886609111,135.075160692172,1011.6767165037475,359819.95837489906,618.5764572750919,2615.4633719501735,0.0,3,0.4015434503905065,128.60000000217985,0.3706383452053443,0.031006892543766908,18816.024186209197,0.305646119038267,0.0,0.30002900163664137,True,1.539292958101418e-07,7039.460393497513,1080959.1626424347,3627989.96746608,1080959.1626424347,0.26870488696347133,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235987755982989,0.0,,,,,,,,,,,,,,descent,,,2.0,853006222.640445
2864,22934.6960835257,134.98139607176046,997.5381411047592,360089.7384646569,618.9094665717105,2617.4633719501735,0.0,3,0.40119924569123394,128.60000000217985,0.3706329673189646,0.031006781991184573,18815.957099187814,0.30544359651423936,0.0,0.2998251838695291,True,1.5413888150749962e-07,7039.564182001663,1080224.8380215897,3627239.472407151,1080224.8380215897,0.26852234850960754,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235987755982989,0.0,,,,,,,,,,,,,,descent,,,2.0,853006222.640445
2865,22934.363074229084,134.88779208455165,983.409380227913,360359.33128217625,619.2427028283348,2619.4633719501735,0.0,3,0.4008556867000957,128.60000000217985,0.3706275857685266,0.031006671365052772,18815.889967534153,0.30524142534241655,0.0,0.2996217198043848,True,1.5434867611329292e-07,7039.668042294343,1079491.7877354957,3626478.4207836445,1079491.7877354957,0.2683401268299449,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235987755982989,0.0,,,,,,,,,,,,,,descent,,,2.0,853006222.640445
2866,22934.02983797246,134.79434829197268,969.2904170594242,360628.73714828317,619.5761662731251,2621.4633719501735,0.0,3,0.4005127715491893,128.60000000217985,0.3706222005503334,0.03100656066529913,18815.822791204264,0.3050396045680391,0.0,0.29941860847965607,True,1.5455867951093877e-07,7039.771974449082,1078760.008319825,3625706.8135170056,1078760.008319825,0.26815822106332066,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235987755982989,0.0,,,,,,,,,,,,,,descent,,,2.0,853006222.640445
2867,22933.69637452767,134.70106425709355,955.1812348314145,360897.9563829279,619.9098571336069,2623.4633719501735,0.0,3,0.40017049837791197,128.60000000217985,0.370616811660697,0.031006449891851463,18815.755570154386,0.30483813323992043,0.0,0.29921584893738945,True,1.5476889158410625e-07,7039.875978539274,1078029.4963232155,3624924.6515555494,1078029.4963232155,0.26797663035179503,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235987755982989,0.0,,,,,,,,,,,,,,descent,,,2.0,853006222.640445
2868,22933.362683667187,134.6079395446188,941.0818168217401,361166.9893051879,620.2437756366741,2625.4633719501735,0.0,3,0.39982886533292367,128.60000000217985,0.37061141909594103,0.031006339044637843,18815.68830434084,0.30463701041042546,0.0,0.2990134402232073,True,1.549793122167171e-07,7039.980054638073,1077300.2483071892,3624131.9358742735,1077300.2483071892,0.2677953538406309,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235987755982989,0.0,,,,,,,,,,,,,,descent,,,2.0,853006222.640445
2869,22933.02876516412,134.5149737208803,926.9921463538201,361435.83623327134,620.5779220085907,2627.4633719501735,0.0,3,0.3994878705681124,128.60000000217985,0.3706060228523988,0.031006228123586534,18815.62099372011,0.3044362351354562,0.0,0.29881138138629537,True,1.5518994129294264e-07,7040.084202818455,1076572.2608461059,3623328.6674746536,1076572.2608461059,0.2676143906782825,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235987755982989,0.0,,,,,,,,,,,,,,descent,,,2.0,853006222.640445
2870,22932.694618792204,134.42216635382903,912.9122067964666,361704.49748452014,620.9122964749944,2629.4633719501735,0.0,3,0.3991475122445578,128.60000000217985,0.3706006229264137,0.03100611712862602,18815.55363824878,0.30423580647443393,0.0,0.2986096714793831,True,1.5540077869720335e-07,7040.188423153198,1075845.530527093,3622514.847384447,1075845.530527093,0.2674337400163779,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235987755982989,0.0,,,,,,,,,,,,,,descent,,,2.0,853006222.640445
