,TP_total_temperature,TP_total_pressure
0,"[101325.00000061248, 101325.00000061248, 500.2298141636635, 684.8069131754396, 1422.1443156966898, 1255.693424846364, 1066.169019310085, 858.0576069072605, 858.0576069072605]","[101325.00000061248, 101325.00000061248, 522854.3005631023, 1316413.904734572, 1224264.931403152, 674819.6385918934, 308435.00744417444, 111719.93547444395, 111719.93547444395]"
1,"[101325.00074165965, 101325.00074165965, 500.22981438628705, 684.8069130677843, 1422.1443131519297, 1255.6934225767593, 1066.1690173669253, 858.0576052735471, 858.0576052735471]","[101325.00074165965, 101325.00074165965, 522854.3018289519, 1316413.9055908043, 1224264.932199448, 674819.6389724682, 308435.007595818, 111719.93548684182, 111719.93548684182]"
2,"[101325.00288134474, 101325.00288134474, 500.2298150307245, 684.8069127600064, 1422.1443058152258, 1255.6934160333365, 1066.169011764651, 858.0576005610022, 858.0576005610022]","[101325.00288134474, 101325.00288134474, 522854.3054890361, 1316413.90808054, 1224264.934514902, 674819.640080514, 308435.00803794374, 111719.93552289178, 111719.93552289178]"
3,"[101325.00641870343, 101325.00641870343, 500.22981609607046, 684.806912251095, 1422.144293685762, 1255.6934052153708, 1066.1690025026473, 858.0575927700208, 858.0575927700208]","[101325.00641870343, 101325.00641870343, 522854.3115397928, 1316413.9121961016, 1224264.9383423745, 674819.6419120852, 308435.00876874896, 111719.93558248272, 111719.93558248272]"
4,"[101325.01135277128, 101325.01135277128, 500.22981758241536, 684.8069115419011, 1422.1442767693993, 1255.6933901280875, 1066.1689895853842, 858.0575819037981, 858.0575819037981]","[101325.01135277128, 101325.01135277128, 522854.3199807568, 1316413.917940427, 1224264.9436845973, 674819.6444688167, 308435.0097890273, 111719.9356656573, 111719.9356656573]"
5,"[101325.01768258425, 101325.01768258425, 500.2298194892051, 684.80691063207, 1422.1442550676759, 1255.6933707728601, 1066.1689730140406, 858.0575679637167, 858.0575679637167]","[101325.01768258425, 101325.01768258425, 522854.3308094594, 1316413.9253095847, 1224264.950537914, 674819.6477487321, 308435.0110978926, 111719.93577235863, 111719.93577235863]"
6,"[101325.02540717833, 101325.02540717833, 500.2298218156811, 684.8069095208651, 1422.1442285807589, 1255.6933471498405, 1066.1689527887497, 858.0575509505836, 858.0575509505836]","[101325.02540717833, 101325.02540717833, 522854.34402279515, 1316413.9342974604, 1224264.9588966381, 674819.6517487089, 308435.0126939239, 111719.935902498, 111719.935902498]"
7,"[101325.03452558968, 101325.03452558968, 500.22982456187526, 684.8069082090277, 1422.1441973141143, 1255.6933192639017, 1066.1689289136812, 858.0575308674281, 858.0575308674281]","[101325.03452558968, 101325.03452558968, 522854.359620117, 1316413.9449063672, 1224264.9687629216, 674819.6564700527, 308435.01457776246, 111719.93605610899, 111719.93605610899]"
8,"[101325.04503685466, 101325.04503685466, 500.2298277276437, 684.8069066969701, 1422.1441612720291, 1255.6932871188665, 1066.1689013921068, 858.0575077167853, 858.0575077167853]","[101325.04503685466, 101325.04503685466, 522854.3776002315, 1316413.957136744, 1224264.980137172, 674819.6619130851, 308435.01674959116, 111719.93623319801, 111719.93623319801]"
9,"[101325.05694000964, 101325.05694000964, 500.22983131240323, 684.8069049842837, 1422.1441204558448, 1255.6932507159324, 1066.1688702250544, 858.0574814999543, 858.0574814999543]","[101325.05694000964, 101325.05694000964, 522854.39796057943, 1316413.970984348, 1224264.993015444, 674819.6680756654, 308435.01920844655, 111719.93643370357, 111719.93643370357]"
