,mass,true_airspeed,altitude,ground_distance,alpha,EM_power_rate,TP_power_rate,time,engine_setting,mach,equivalent_airspeed,thrust_rate,thrust_is_regulated,psfc,thrust,TPshaft_power,thermo_power,TP_thermal_efficiency,TP_residual_thrust,TP_air_flow,TP_total_pressure,TP_total_temperature,CT,CL,CD,drag,slope_angle,acceleration,name,delta_time,fuel_mass
889,23560.300882533767,26.443552291061554,0.0,121.60179279860999,-0.017453292519943295,0.0,1.0,8.889999999999855,1,0.07770767061609199,26.443552291061554,1.0,False,1.0246597804402657e-07,65230.12818826966,3602848.91375788,3615645.708581191,,2539.5665538729727,,,,1.2711329127435542,0.8462812267338103,0.07291926016013357,1870.9816416337685,0.0,2.6534648948359205,take off,0.009999999999999787,3.2783139246975352
890,23560.297190839392,26.470086940009914,0.0,121.86622832152061,-0.017453292519943295,0.0,1.0,8.899999999999855,1,0.07778564598557704,26.470086940009914,1.0,False,1.0246655491687775e-07,65216.58614971066,3602848.91375788,3615630.439706833,,2539.9455731493586,,,,1.2683223600026834,0.8462812267338103,0.07291926016013357,1874.7383796799318,0.0,2.6527385321770325,take off,0.009999999999999787,3.282005639858323
891,23560.293499124233,26.496614325331684,0.0,122.13092919092071,-0.017453292519943295,0.0,1.0,8.909999999999854,1,0.07786360000999104,26.496614325331684,1.0,False,1.0246713196460344e-07,65203.04716771194,3602848.91375788,3615615.17637713,,2540.323838218983,,,,1.2655212635712352,0.8462812267338103,0.07291926016013357,1878.497855594592,0.0,2.6520121882034977,take off,0.009999999999999787,3.2856973758092685
892,23560.289807388282,26.52313444721372,0.0,122.39589533417403,-0.017453292519943295,0.0,1.0,8.919999999999854,1,0.07794153268988309,26.52313444721372,1.0,False,1.0246770918700141e-07,65189.51124279641,3602848.91375788,3615599.918588551,,2540.701349702767,,,,1.2627295810780397,0.8462812267338103,0.07291926016013357,1882.2600663109208,0.0,2.6512858630616423,take off,0.009999999999999787,3.2893891325566647
893,23560.286115631534,26.54964730584434,0.0,122.66112667864617,-0.017453292519943295,0.0,1.0,8.929999999999854,1,0.07801944402580657,26.54964730584434,1.0,False,1.024682865838695e-07,65175.97837548596,3602848.91375788,3615584.6663375655,,2541.0781082214066,,,,1.2599472703890036,0.8462812267338103,0.07291926016013357,1886.0250087632478,0.0,2.6505595568977034,take off,0.009999999999999787,3.2930809101067977
894,23560.282423853983,26.576152901413316,0.0,122.92662315170462,-0.017453292519943295,0.0,1.0,8.939999999999854,1,0.07809733401831917,26.576152901413316,1.0,False,1.0246886415500552e-07,65162.44856630149,3602848.91375788,3615569.419620647,,2541.454114395382,,,,1.2571742896055178,0.8462812267338103,0.07291926016013357,1889.7926798870667,0.0,2.649833269857828,take off,0.009999999999999787,3.296772708465946
895,23560.278732055624,26.602651234111896,0.0,123.19238468071875,-0.017453292519943295,0.0,1.0,8.949999999999854,1,0.07817520266798289,26.602651234111896,1.0,False,1.0246944190020728e-07,65148.92181576294,3602848.91375788,3615554.178434274,,2541.8293688449485,,,,1.2544105970628827,0.8462812267338103,0.07291926016013357,1893.5630766190325,0.0,2.6491070020880776,take off,0.009999999999999787,3.3004645276403815
896,23560.27504023645,26.629142304132777,0.0,123.45841119305986,-0.017453292519943295,0.0,1.0,8.959999999999853,1,0.07825304997536399,26.629142304132777,1.0,False,1.0247001981927259e-07,65135.398124389256,3602848.91375788,3615538.9427749263,,2542.2038721901527,,,,1.2516561513287405,0.8462812267338103,0.07291926016013357,1897.336195896965,0.0,2.648380753734422,take off,0.009999999999999787,3.3041563676363674
897,23560.271348396454,26.65562611167012,0.0,123.72470261610118,-0.017453292519943295,0.0,1.0,8.969999999999853,1,0.07833087594103304,26.65562611167012,1.0,False,1.024705979119993e-07,65121.87749269836,3602848.91375788,3615523.7126390864,,2542.5776250508025,,,,1.2489109112015224,0.8462812267338103,0.07291926016013357,1901.1120346598466,0.0,2.6476545249427414,take off,0.009999999999999787,3.307848228460161
898,23560.26765653563,26.682102656919547,0.0,123.99125887721789,-0.017453292519943295,0.0,1.0,8.979999999999853,1,0.0784086805655649,26.682102656919547,1.0,False,1.0247117617818525e-07,65108.359921207266,3602848.91375788,3615508.488023244,,2542.9506280465057,,,,1.2461748357089097,0.8462812267338103,0.07291926016013357,1904.8905898478265,0.0,2.6469283158588315,take off,0.009999999999999787,3.3115401101180115
899,23560.263964653972,26.708571940078134,0.0,124.25807990378708,-0.017453292519943295,0.0,1.0,8.989999999999853,1,0.07848646384953868,26.708571940078134,1.0,False,1.0247175461762824e-07,65094.845410431924,3602848.91375788,3615493.268923887,,2543.3228817966324,,,,1.2434478841063017,0.8462812267338103,0.07291926016013357,1908.6718584022185,0.0,2.6462021266283946,take off,0.009999999999999787,3.3152320126161614
900,23560.260272751475,26.735033961344417,0.0,124.52516562318786,-0.017453292519943295,0.0,1.0,8.999999999999853,1,0.07856422579353785,26.735033961344417,1.0,False,1.0247233323012617e-07,65081.33396088734,3602848.91375788,3615478.055337511,,2543.6943869203387,,,,1.240730015875301,0.8462812267338103,0.07291926016013357,1912.4558372655038,0.0,2.645475957397045,take off,0.009999999999999787,3.318923935960845
901,23560.25658082813,26.761488720918386,0.0,124.7925159628013,-0.017453292519943295,0.0,1.0,9.009999999999852,1,0.07864196639815006,26.761488720918386,1.0,False,1.0247291201547686e-07,65067.82557308754,3602848.91375788,3615462.8472606116,,2544.0651440365637,,,,1.2380211907222063,0.8462812267338103,0.07291926016013357,1916.2425233813315,0.0,2.64474980831031,take off,0.009999999999999787,3.3226158801582906
902,23560.25288888393,26.78793621900149,0.0,125.06013085001048,-0.017453292519943295,0.0,1.0,9.019999999999852,1,0.07871968566396732,26.78793621900149,1.0,False,1.0247349097347824e-07,65054.32024754552,3602848.91375788,3615447.6446896885,,2544.435153764013,,,,1.2353213685765199,0.8462812267338103,0.07291926016013357,1920.0319136945195,0.0,2.6440236795136256,take off,0.009999999999999787,3.326307845214718
903,23560.249196918874,26.814376455796626,0.0,125.3280102122005,-0.017453292519943295,0.0,1.0,9.029999999999852,1,0.07879738359158586,26.814376455796626,1.0,False,1.0247407010392808e-07,65040.81798477335,3602848.91375788,3615432.4476212463,,2544.804416721182,,,,1.232630509589467,0.8462812267338103,0.07291926016013357,1923.8240051510525,0.0,2.64329757115234,take off,0.009999999999999787,3.329999831136341
904,23560.24550493295,26.84080943150815,0.0,125.59615397675846,-0.017453292519943295,0.0,1.0,9.039999999999852,1,0.0788750601816062,26.84080943150815,1.0,False,1.0247464940662435e-07,65027.31878528207,3602848.91375788,3615417.256051791,,2545.1729335263394,,,,1.2299485741325211,0.8462812267338103,0.07291926016013357,1927.618794698088,0.0,2.642571483371712,take off,0.009999999999999787,3.3336918379293645
905,23560.241812926157,26.867235146341866,0.0,125.86456207107354,-0.017453292519943295,0.0,1.0,9.049999999999851,1,0.07895271543463313,26.867235146341866,1.0,False,1.024752288813649e-07,65013.822649581765,3602848.91375788,3615402.069977832,,2545.540704797528,,,,1.2272755227959475,0.8462812267338103,0.07291926016013357,1931.416279283954,0.0,2.641845416316912,take off,0.009999999999999787,3.3373838655999877
