,TP_total_temperature,TP_total_pressure
0,"[101325.00000061248, 101325.00000061248, 500.2298141636635, 684.8069131754396, 1422.1443156966898, 1255.693424846364, 1066.169019310085, 858.0576069072605, 858.0576069072605]","[101325.00000061248, 101325.00000061248, 522854.3005631023, 1316413.904734572, 1224264.931403152, 674819.6385918934, 308435.00744417444, 111719.93547444395, 111719.93547444395]"
1,"[101325.00082217235, 101325.00082217235, 500.22981441064877, 684.8069130564137, 1422.1443128766175, 1255.6934223312146, 1066.1690171566966, 858.057605096539, 858.057605096539]","[101325.00082217235, 101325.00082217235, 522854.30196702504, 1316413.9056856898, 1224264.9322876916, 674819.6390147934, 308435.0076127481, 111719.93548821566, 111719.93548821566]"
2,"[101325.00319876701, 101325.00319876701, 500.2298151265435, 684.8069127147529, 1422.1443047282787, 1255.693415063914, 1066.16901093466, 858.0575998625054, 858.0575998625054]","[101325.00319876701, 101325.00319876701, 522854.30603268306, 1316413.9084522023, 1224264.9348605482, 674819.6402461062, 308435.00810409815, 111719.93552827318, 111719.93552827318]"
3,"[101325.00712925386, 101325.00712925386, 500.2298163101255, 684.8069121489793, 1422.1442912497048, 1255.693403042712, 1066.1690006424842, 858.0575912052082, 858.0575912052082]","[101325.00712925386, 101325.00712925386, 522854.31275539246, 1316413.9130234197, 1224264.9391117804, 674819.6422803216, 308435.0089156987, 111719.93559446186, 111719.93559446186]"
4,"[101325.01261249017, 101325.01261249017, 500.2298179618111, 684.8069113606801, 1422.1442724499154, 1255.6933862756478, 1066.168986287046, 858.0575791293037, 858.0575791293037]","[101325.01261249017, 101325.01261249017, 522854.32213556295, 1316413.9194061223, 1224264.9450476938, 674819.6451211083, 308435.01004929695, 111719.93568687982, 111719.93568687982]"
5,"[101325.01964733367, 101325.01964733367, 500.2298200809641, 684.8069103494729, 1422.1442483308676, 1255.693364764469, 1066.1689678698438, 858.0575636364855, 858.0575636364855]","[101325.01964733367, 101325.01964733367, 522854.3341703322, 1316413.9275958647, 1224264.9526641543, 674819.6487662386, 308435.0115038955, 111719.9358054627, 111719.9358054627]"
6,"[101325.02823264219, 101325.02823264219, 500.2298226658943, 684.8069091130045, 1422.1442188874514, 1255.6933385046266, 1066.168945386994, 858.0575447254848, 858.0575447254848]","[101325.02823264219, 101325.02823264219, 522854.3488535599, 1316413.9375769643, 1224264.9619465768, 674819.6532075773, 308435.0132757463, 111719.9359499834, 111719.9359499834]"
7,"[101325.03836727377, 101325.03836727377, 500.22982571851105, 684.8069076556538, 1422.1441841386952, 1255.693307513077, 1066.1689188529954, 858.0575224051541, 858.0575224051541]","[101325.03836727377, 101325.03836727377, 522854.36619029974, 1316413.9493721197, 1224264.9729160713, 674819.6584571592, 308435.0153704911, 111719.93612077067, 111719.93612077067]"
8,"[101325.05005008657, 101325.05005008657, 500.22982923750465, 684.8069059757788, 1422.1441440820395, 1255.693271787544, 1066.168888265908, 858.0574966752936, 858.0574966752936]","[101325.05005008657, 101325.05005008657, 522854.3861755948, 1316413.9629697031, 1224264.985561824, 674819.6645089822, 308435.0177853756, 111719.93631765596, 111719.93631765596]"
9,"[101325.06327993907, 101325.06327993907, 500.229833222385, 684.8069040732705, 1422.144098720419, 1255.6932313306459, 1066.1688536279737, 858.0574675380071, 858.0574675380071]","[101325.06327993907, 101325.06327993907, 522854.40880703763, 1316413.9783668285, 1224264.9998811507, 674819.6713616352, 308435.02051978174, 111719.93654059772, 111719.93654059772]"
10,"[101325.07805569004, 101325.07805569004, 500.22983767251577, 684.8069019477459, 1422.1440480557862, 1255.6931861441255, 1066.1688149406878, 858.0574349949861, 858.0574349949861]","[101325.07805569004, 101325.07805569004, 522854.4340817657, 1316413.9955590465, 1224265.0158699134, 674819.6790128874, 308435.02357271075, 111719.93678953132, 111719.93678953132]"
11,"[101325.09437619825, 101325.09437619825, 500.2298425876996, 684.8068995996434, 1422.14399209304, 1255.6931362323514, 1066.1687722077886, 858.0573990491586, 858.0573990491586]","[101325.09437619825, 101325.09437619825, 522854.461998282, 1316414.014546593, 1224265.0335283314, 674819.6874629691, 308435.02694430854, 111719.9370644604, 111719.9370644604]"
12,"[101325.11224032291, 101325.11224032291, 500.2298479680901, 684.8068970300573, 1422.1439308394279, 1255.6930816017846, 1066.1687254348042, 858.0573597044357, 858.0573597044357]","[101325.11224032291, 101325.11224032291, 522854.4925561814, 1316414.0353334409, 1224265.0528601, 674819.6967140764, 308435.0306356372, 111719.9373654423, 111719.9373654423]"
13,"[101325.1316469232, 101325.1316469232, 500.2298538131975, 684.8068942388788, 1422.1438642978856, 1255.6930222550436, 1066.168674623978, 858.0573169629218, 858.0573169629218]","[101325.1316469232, 101325.1316469232, 522854.5257530571, 1316414.057916706, 1224265.0738625366, 674819.7067647986, 308435.0346460797, 111719.93769243536, 111719.93769243536]"
14,"[101325.1525948586, 101325.1525948586, 500.22986012250243, 684.8068912259434, 1422.1437924711468, 1255.692958194568, 1066.1686197773995, 858.0572708266358, 858.0572708266358]","[101325.1525948586, 101325.1525948586, 522854.5615864112, 1316414.0822931859, 1224265.0965326629, 674819.7176135606, 308435.03897494124, 111719.93804539312, 111719.93804539312]"
15,"[101325.17508298892, 101325.17508298892, 500.2298668953983, 684.8068879909234, 1422.1437153613604, 1255.6928894222763, 1066.1685608967136, 858.0572212973506, 858.0572212973506]","[101325.17508298892, 101325.17508298892, 522854.6000534749, 1316414.1084587502, 1224265.1208666377, 674819.7292582991, 308435.0436213012, 111719.93842425587, 111719.93842425587]"
16,"[101325.19911017406, 101325.19911017406, 500.22987413180465, 684.8068845344752, 1422.1436329742032, 1255.6928159432296, 1066.1684979862516, 858.0571683783203, 858.0571683783203]","[101325.19911017406, 101325.19911017406, 522854.6411531151, 1316414.1364148753, 1224265.146865834, 674819.7416998957, 308435.04858560883, 111719.93882904488, 111719.93882904488]"
17,"[101325.22467527419, 101325.22467527419, 500.22988183234446, 684.80688085857, 1422.1435453200656, 1255.6927377666887, 1066.168431053934, 858.0571120747729, 858.0571120747729]","[101325.22467527419, 101325.22467527419, 522854.68488638627, 1316414.1661705377, 1224265.1745386, 674819.7549431755, 308435.05387014983, 111719.93925989012, 111719.93925989012]"
18,"[101325.25177714958, 101325.25177714958, 500.2298899944202, 684.8068769591569, 1422.1434523877458, 1255.692654882677, 1066.1683600912381, 858.0570523828844, 858.0570523828844]","[101325.25177714958, 101325.25177714958, 522854.73124432913, 1316414.1977003792, 1224265.2038613528, 674819.7689749183, 308435.05946880946, 111719.93971642463, 111719.93971642463]"
19,"[101325.28041466083, 101325.28041466083, 500.2298986196205, 684.8068728400129, 1422.143354194109, 1255.6925673062244, 1066.1682851110158, 858.0569893105985, 858.0569893105985]","[101325.28041466083, 101325.28041466083, 522854.7802310014, 1316414.2310236723, 1224265.2348520153, 674819.783805359, 308435.0653863913, 111719.94019892733, 111719.94019892733]"
20,"[101325.31058666873, 101325.31058666873, 500.22990770722146, 684.8068685005907, 1422.143250740513, 1255.6924750385442, 1066.1682061143094, 858.0569228593565, 858.0569228593565]","[101325.31058666873, 101325.31058666873, 522854.8318432698, 1316414.266135032, 1224265.2675055799, 674819.7994317746, 308435.07162166724, 111719.94070732016, 111719.94070732016]"
21,"[101325.34229203434, 101325.34229203434, 500.2299172562656, 684.8068639399054, 1422.143142026747, 1255.6923780794523, 1066.168123100966, 858.0568530299421, 858.0568530299421]","[101325.34229203434, 101325.34229203434, 522854.8860772746, 1316414.3030265819, 1224265.3018147212, 674819.815850133, 308435.0781727992, 111719.94124148923, 111719.94124148923]"
22,"[101325.37552961869, 101325.37552961869, 500.2299272666437, 684.806859158559, 1422.1430280582906, 1255.692276433834, 1066.1680360751664, 858.0567798255247, 858.0567798255247]","[101325.37552961869, 101325.37552961869, 522854.9429317949, 1316414.3416994924, 1224265.337780528, 674819.8330611548, 308435.08504016156, 111719.94180145144, 111719.94180145144]"
23,"[101325.41029828339, 101325.41029828339, 500.229937738686, 684.8068541579746, 1422.1429088435666, 1255.6921701091974, 1066.1679450433332, 858.0567032505077, 858.0567032505077]","[101325.41029828339, 101325.41029828339, 522855.00240697555, 1316414.3821596154, 1224265.3754084425, 674819.8510680231, 308435.092225276, 111719.94238729142, 111719.94238729142]"
24,"[101325.44659689, 101325.44659689, 500.229948671054, 684.8068489364553, 1422.1427843798092, 1255.692059103082, 1066.1678500033684, 858.0566233046028, 858.0566233046028]","[101325.44659689, 101325.44659689, 522855.06449777336, 1316414.4243950166, 1224265.4146873655, 674819.8698645722, 308435.0997253111, 111719.94299883652, 111719.94299883652]"
25,"[101325.48442430029, 101325.48442430029, 500.229960064049, 684.8068434953694, 1422.1426546752448, 1255.691943422821, 1066.1677509615445, 858.056539992131, 858.056539992131]","[101325.48442430029, 101325.48442430029, 522855.12920424313, 1316414.4684112347, 1224265.4556224484, 674819.8894538198, 308435.1075417112, 111719.94363616682, 111719.94363616682]"
26,"[101325.5237793765, 101325.5237793765, 500.2299719174742, 684.8068378351551, 1422.142519734762, 1255.6918230727729, 1066.1676479215928, 858.0564533160134, 858.0564533160134]","[101325.5237793765, 101325.5237793765, 522855.1965248921, 1316414.5142085073, 1224265.498213912, 674819.9098359975, 308435.11567462364, 111719.94429928577, 111719.94429928577]"
27,"[101325.56466098072, 101325.56466098072, 500.229984230109, 684.8068319543347, 1422.1423795563803, 1255.6916980511774, 1066.1675408820124, 858.0563632762911, 858.0563632762911]","[101325.56466098072, 101325.56466098072, 522855.2664550437, 1316414.5617761505, 1224265.54245182, 674819.9310055965, 308435.124121522, 111719.94498803886, 111719.94498803886]"
28,"[101325.60706797558, 101325.60706797558, 500.2299970021663, 684.8068258541116, 1422.142234147733, 1255.6915683648388, 1066.1674298486253, 858.0562698770354, 858.0562698770354]","[101325.60706797558, 101325.60706797558, 522855.338994479, 1316414.6111187655, 1224265.588340452, 674819.9529651427, 308435.13288362254, 111719.94570249254, 111719.94570249254]"
29,"[101325.65099922381, 101325.65099922381, 500.23001023383017, 684.8068195356353, 1422.1420835162587, 1255.691434020388, 1066.1673148271038, 858.0561731222369, 858.0561731222369]","[101325.65099922381, 101325.65099922381, 522855.4141428899, 1316414.6622406465, 1224265.6358838014, 674819.9757169983, 308435.1419620635, 111719.94644270898, 111719.94644270898]"
