,mass,true_airspeed,altitude,ground_distance,fuel_mass,time,DISA,engine_setting,mach,equivalent_airspeed,CL,CD,drag,thrust_rate,EM_power_rate,TP_power_rate,thrust_is_regulated,psfc,thrust,TPshaft_power,thermo_power,TP_residual_thrust,slope_angle,acceleration,TP_thermal_efficiency,TP_air_flow,TP_total_pressure,TP_total_temperature,CT,name,ceiling,max_mach,delta_time
0,23721.104930782312,60.0,10.668,0.0,0.762202166545289,60.0,0.0,1,0.17633868880182274,59.969279456360205,1.756583595697985,0.11945278636840168,15819.14664957153,1.0,0.0,1.0,False,1.0338703303493353e-07,48603.32404610095,3686159.396254983,3686159.396254983,2586.402389409918,0.14093170329938356,0.0,,,,,,,,,2.0
1,23720.342728615768,60.04858688895644,27.523876974584134,118.8102664394693,1.5235136356872747,62.0,0.0,1,0.17651505401311102,59.969279456360205,1.756527153478018,0.11944683872368365,15818.359002276942,1.0,0.0,1.0,False,1.0323604899396908e-07,48582.95967913846,3687236.5639761193,3687236.5639761193,2586.346864841725,0.14085207327817145,0.0,,,,,,initial climb,,,2.0
2,23719.581417146626,60.0972437075303,44.38393494747177,237.71808617641122,2.2839337646287996,64.0,0.0,1,0.17669170666757486,59.969279456360205,1.7564707772155377,0.11944089822390441,15817.572301187442,1.0,0.0,1.0,False,1.0308558837758962e-07,48562.27568515388,3688295.041573614,3688295.041573614,2586.274265128067,0.14077105469342863,0.0,,,,,,initial climb,,,2.0
3,23718.820997017683,60.14597012422376,61.24801286574851,356.7236225221437,3.0434619390268027,66.0,0.0,1,0.17686864568546318,59.969279456360205,1.7564144669581432,0.11943496487339669,15816.786546876814,1.0,0.0,1.0,False,1.0293565201517154e-07,48541.27291401643,3689334.8394298675,3689334.8394298675,2586.1846042730976,0.140688651068041,0.0,,,,,,initial climb,,,2.0
4,23718.061468843283,60.19476580531092,78.11594956219913,475.82703809172597,3.8020975728649917,68.0,0.0,1,0.17704586997807234,59.969279456360205,1.7563582227513272,0.11942903867627139,15816.001739889476,1.0,0.0,1.0,False,1.0278624071437271e-07,48519.95222882011,3690355.968686129,3690355.968686129,2586.0778970065007,0.14060486598282018,0.0,,,,,,initial climb,,,2.0
5,23717.302833209444,60.24363041484584,94.98758376192575,595.028494797823,4.55984010832464,70.0,0.0,1,0.1772233784477655,59.969279456360205,1.756302044638486,0.11942311963641868,15815.217880740594,1.0,0.0,1.0,False,1.0263735526113904e-07,48498.31450580827,3691358.4412406823,3691358.4412406823,2585.9541587820963,0.1405197030761858,0.0,,,,,,initial climb,,,2.0
6,23716.545090673982,60.292563614670804,111.86275408897518,714.3281538445915,5.316577862289234,72.0,0.0,1,0.17740116998799327,59.969279456360205,1.7562459326609274,0.11941720775750901,15814.434969916241,1.0,0.0,1.0,False,1.0248899641971312e-07,48469.83640358433,3691800.0,3692342.269746965,2585.46539196064,0.14040511447136642,0.0,,,,,,initial climb,,,2.0
7,23715.78835292002,60.34155533497279,128.7379497640707,833.7266491443386,6.072224303876812,74.0,0.0,1,0.17757920812266983,59.969279456360205,1.7561898950889538,0.11941130391016591,15813.6531227132,1.0,0.0,1.0,False,1.023411942125221e-07,48435.97916143711,3691800.0,3693307.2779472913,2584.6889208986895,0.14026737914720416,0.0,,,,,,initial climb,,,2.0
8,23715.032706478432,60.39059760601547,145.6103987450905,953.224488732999,6.826783713799739,76.0,0.0,1,0.17775746398176653,59.969279456360205,1.7561339383303074,0.11940540876867961,15812.87242842781,1.0,0.0,1.0,False,1.0219397176484737e-07,48402.0659523715,3691800.0,3694253.34625476,2583.9084053998386,0.14012938297640423,0.0,,,,,,initial climb,,,2.0
9,23714.278147068508,60.43969036301864,162.48005690992284,1072.8217786280816,7.580260366072194,78.0,0.0,1,0.17793593741383087,59.969279456360205,1.7560780620679945,0.11939952229882579,15812.092882527739,1.0,0.0,1.0,False,1.0204732816951817e-07,48368.096752275764,3691800.0,3695180.5158025757,2583.1238362769113,0.13999112589416124,0.0,,,,,,initial climb,,,2.0
