,TP_total_temperature,TP_total_pressure
0,"[101325.00000061248, 101325.00000061248, 500.2298141636635, 684.8069131754396, 1422.1443156966898, 1255.693424846364, 1066.169019310085, 858.0576069072605, 858.0576069072605]","[101325.00000061248, 101325.00000061248, 522854.3005631023, 1316413.904734572, 1224264.931403152, 674819.6385918934, 308435.00744417444, 111719.93547444395, 111719.93547444395]"
1,"[101325.00076189404, 101325.00076189404, 500.2298143923802, 684.8069130648717, 1422.1443130825412, 1255.6934225148734, 1066.1690173139405, 858.0576052289789, 858.0576052289789]","[101325.00076189404, 101325.00076189404, 522854.3018635609, 1316413.9056143374, 1224264.932221334, 674819.6389829405, 308435.007599996, 111719.93548718256, 111719.93548718256]"
2,"[101325.00296109954, 101325.00296109954, 500.2298150550628, 684.8069127491281, 1422.1443055438856, 1255.6934157913329, 1066.1690115574524, 858.0576003862391, 858.0576003862391]","[101325.00296109954, 101325.00296109954, 522854.3056264494, 1316413.9081767274, 1224264.9346043565, 674819.6401235941, 308435.00805525144, 111719.93552428452, 111719.93552428452]"
3,"[101325.00659722394, 101325.00659722394, 500.2298161499159, 684.8069122255621, 1422.1442930741614, 1255.6934046698989, 1066.1690020356305, 858.0575923770582, 858.0575923770582]","[101325.00659722394, 101325.00659722394, 522854.31184540765, 1316413.9124046601, 1224264.938536334, 674819.6420049698, 308435.00880583987, 111719.93558550262, 111719.93558550262]"
4,"[101325.01166926217, 101325.01166926217, 500.2298176775442, 684.8069114960151, 1422.1442756828985, 1255.6933891590659, 1066.1689887557397, 858.0575812062009, 858.0575812062009]","[101325.01166926217, 101325.01166926217, 522854.32052153716, 1316413.918306638, 1224264.9440251733, 674819.6446316316, 308435.00985392067, 111719.93567095997, 111719.93567095997]"
5,"[101325.01817620927, 101325.01817620927, 500.22981963779114, 684.8069105609056, 1422.1442533745258, 1255.6933692627822, 1066.1689717211598, 858.0575668762926, 858.0575668762926]","[101325.01817620927, 101325.01817620927, 522854.331653574, 1316413.925883054, 1224264.9510712402, 674819.6480038783, 308435.0111996677, 111719.9357806621, 111719.9357806621]"
6,"[101325.02611706048, 101325.02611706048, 500.2298220289786, 684.8069094178054, 1422.1442261432644, 1255.6933449759033, 1066.1689509274968, 858.0575493856794, 858.0575493856794]","[101325.02611706048, 101325.02611706048, 522854.345235522, 1316413.935118071, 1224264.9596598062, 674819.652113483, 308435.01283928496, 111719.93591437995, 111719.93591437995]"
7,"[101325.03549081144, 101325.03549081144, 500.2298248524141, 684.8069080698701, 1422.1441940033556, 1255.6933163111198, 1066.168926385603, 858.0575287411007, 858.0575287411007]","[101325.03549081144, 101325.03549081144, 522854.36127066915, 1316413.9460276868, 1224264.969805749, 674819.6569689454, 308435.0147767645, 111719.93607234512, 111719.93607234512]"
8,"[101325.04629645754, 101325.04629645754, 500.2298281068581, 684.8069065154925, 1422.1441569519634, 1255.6932832659086, 1066.1688980933259, 858.0575049421356, 858.0575049421356]","[101325.04629645754, 101325.04629645754, 522854.379754384, 1316413.9586007446, 1224264.9814986927, 674819.6625644972, 308435.01700945524, 111719.93625439593, 111719.93625439593]"
9,"[101325.05853299458, 101325.05853299458, 500.2298317923889, 684.8069047555289, 1422.1441149950847, 1255.6932458456156, 1066.1688660552395, 858.0574779920669, 858.0574779920669]","[101325.05853299458, 101325.05853299458, 522854.4006861317, 1316413.9728401322, 1224264.994741323, 674819.6689017499, 308435.01953814225, 111719.93646057417, 111719.93646057417]"
10,"[101325.07219941857, 101325.07219941857, 500.2298359085576, 684.8069027898503, 1422.1440681351837, 1255.6932040524396, 1066.1688302732277, 858.0574478926966, 858.0574478926966]","[101325.07219941857, 101325.07219941857, 522854.42406374, 1316413.9887431248, 1224265.009531106, 674819.6759793652, 308435.02236223745, 111719.9366908407, 111719.9366908407]"
11,"[101325.08729472547, 101325.08729472547, 500.2298404548863, 684.8069006182728, 1422.1440163745262, 1255.6931578884025, 1066.1687907490227, 858.0574146457421, 858.0574146457421]","[101325.08729472547, 101325.08729472547, 522854.44988494477, 1316414.006306679, 1224265.0258652116, 674819.6837958388, 308435.0254810743, 111719.93694515112, 111719.93694515112]"
12,"[101325.10381791164, 101325.10381791164, 500.2298454311604, 684.8068982411055, 1422.1439597171457, 1255.6931073571013, 1066.1687474857038, 858.0573782536632, 858.0573782536632]","[101325.10381791164, 101325.10381791164, 522854.4781483024, 1316414.0255305646, 1224265.043743425, 674819.6923511438, 308435.02889467584, 111719.93722350225, 111719.93722350225]"
13,"[101325.12176797344, 101325.12176797344, 500.2298508375459, 684.8068956593686, 1422.1438981696251, 1255.693052464404, 1066.1687004882904, 858.0573387199876, 858.0573387199876]","[101325.12176797344, 101325.12176797344, 522854.5088535512, 1316414.0464186058, 1224265.0631693036, 674819.7016473823, 308435.03260405414, 111719.93752594932, 111719.93752594932]"
14,"[101325.1411439074, 101325.1411439074, 500.2298566732722, 684.8068928723311, 1422.1438317322684, 1255.6929932105845, 1066.1686497570217, 858.0572960456109, 858.0572960456109]","[101325.1411439074, 101325.1411439074, 522854.54199751903, 1316414.0689646446, 1224265.0841371196, 674819.7116814135, 308435.0366077827, 111719.93785240337, 111719.93785240337]"
