,TP_total_temperature,TP_total_pressure
0,"[101325.00000061248, 101325.00000061248, 500.2298141636635, 684.8069131754396, 1422.1443156966898, 1255.693424846364, 1066.169019310085, 858.0576069072605, 858.0576069072605]","[101325.00000061248, 101325.00000061248, 522854.3005631023, 1316413.904734572, 1224264.931403152, 674819.6385918934, 308435.00744417444, 111719.93547444395, 111719.93547444395]"
1,"[101325.00085340392, 101325.00085340392, 500.22981442025855, 684.8069130523018, 1422.1443127708917, 1255.6934222369189, 1066.1690170759618, 858.0576050283248, 858.0576050283248]","[101325.00085340392, 101325.00085340392, 522854.30202108086, 1316413.9057241986, 1224264.9323235047, 674819.6390321052, 308435.00761973136, 111719.93548877326, 111719.93548877326]"
2,"[101325.00332195922, 101325.00332195922, 500.2298151636109, 684.8069126969652, 1422.1443043056274, 1255.6934146869621, 1066.1690106119258, 858.0575995910799, 858.0575995910799]","[101325.00332195922, 101325.00332195922, 522854.30624330026, 1316413.9085951652, 1224264.9349935038, 674819.6403097007, 308435.00812945963, 111719.93553034321, 111719.93553034321]"
3,"[101325.00740506811, 101325.00740506811, 500.22981639332727, 684.8069121095508, 1422.1442903048528, 1255.693402200021, 1066.1689999209975, 858.0575905981104, 858.0575905981104]","[101325.00740506811, 101325.00740506811, 522854.3132276001, 1316413.913345755, 1224264.9394115524, 674819.6424238873, 308435.00897303224, 111719.93559912905, 111719.93559912905]"
4,"[101325.01310152079, 101325.01310152079, 500.22981810886745, 684.8069112899036, 1422.1442707715398, 1255.693384778748, 1066.168985005449, 858.057578051588, 858.057578051588]","[101325.01310152079, 101325.01310152079, 522854.32297136483, 1316413.9199726894, 1224264.9455746012, 674819.6453730578, 308435.01014974224, 111719.93569508343, 111719.93569508343]"
5,"[101325.02041010755, 101325.02041010755, 500.22982031039373, 684.8069102391829, 1422.1442457133687, 1255.6933624299888, 1066.1689658711373, 858.057561955658, 858.057561955658]","[101325.02041010755, 101325.02041010755, 522854.3354741626, 1316413.9284801744, 1224264.9534865622, 674819.6491595346, 308435.0116607123, 111719.935818267, 111719.935818267]"
6,"[101325.0293296189, 101325.0293296189, 500.2298229969569, 684.8069089564686, 1422.1442151305641, 1255.6933351539483, 1066.1689425182424, 858.0575423113396, 858.0575423113396]","[101325.0293296189, 101325.0293296189, 522854.35073210497, 1316413.9388605664, 1224264.9631403268, 674819.6537794147, 308435.0135041677, 111719.93596856919, 111719.93596856919]"
7,"[101325.03985884554, 101325.03985884554, 500.22982616787067, 684.8069074413328, 1422.1441790251156, 1255.6933029524023, 1066.1689149482875, 858.0575191203923, 858.0575191203923]","[101325.03985884554, 101325.03985884554, 522854.36874212226, 1316413.951109024, 1224264.9745313923, 674819.6592302663, 308435.01567901776, 111719.93614591999, 111719.93614591999]"
8,"[101325.05199657846, 101325.05199657846, 500.2298298237073, 684.8069056957007, 1422.1441374074504, 1255.693265834645, 1066.1688831692222, 858.0574923881132, 858.0574923881132]","[101325.05199657846, 101325.05199657846, 522854.38950505777, 1316413.9652341257, 1224264.987667737, 674819.6655167114, 308435.01818745583, 111719.93635044349, 111719.93635044349]"
9,"[101325.06574160885, 101325.06574160885, 500.22983396348826, 684.8069037185975, 1422.1440902775937, 1255.6932238007028, 1066.1688471810742, 858.0574621154375, 858.0574621154375]","[101325.06574160885, 101325.06574160885, 522854.4130169331, 1316413.9812279143, 1224265.0025419604, 674819.6726346819, 308435.0210276295, 111719.9365820246, 111719.9365820246]"
10,"[101325.08109272821, 101325.08109272821, 500.229838586996, 684.8069015104709, 1422.1440376406752, 1255.6931768551494, 1066.1688069877584, 858.0574283054409, 858.0574283054409]","[101325.08109272821, 101325.08109272821, 522854.43927613593, 1316413.999090545, 1224265.019154207, 674819.6805843716, 308435.02419967117, 111719.93684066547, 111719.93684066547]"
11,"[101325.09804872813, 101325.09804872813, 500.22984369395385, 684.8068990716588, 1422.1439795014255, 1255.693125002204, 1066.168762592886, 858.0573909610313, 858.0573909610313]","[101325.09804872813, 101325.09804872813, 522854.46828087076, 1316414.018821544, 1224265.037504036, 674819.6893656453, 308435.027703559, 111719.93712635935, 111719.93712635935]"
12,"[101325.1166084005, 101325.1166084005, 500.2298492834716, 684.8068964013504, 1422.1439158604612, 1255.6930682424195, 1066.168713996935, 858.057350083392, 858.057350083392]","[101325.1166084005, 101325.1166084005, 522854.5000274337, 1316414.040413892, 1224265.0575849195, 674819.6989749278, 308435.0315376705, 111719.93743900445, 111719.93743900445]"
13,"[101325.13677053737, 101325.13677053737, 500.22985535615084, 684.806893501526, 1422.143846728401, 1255.6930065852605, 1066.1686612080007, 858.0573056778992, 858.0573056778992]","[101325.13677053737, 101325.13677053737, 522854.5345167605, 1316414.0638764799, 1224265.0794051264, 674819.7094170039, 308435.03570427495, 111719.93777872957, 111719.93777872957]"
14,"[101325.15853393114, 101325.15853393114, 500.2298619110132, 684.80689037121, 1422.1437721052682, 1255.6929400307513, 1066.168604226109, 858.0572577454873, 858.0572577454873]","[101325.15853393114, 101325.15853393114, 522854.57174487377, 1316414.0892013495, 1224265.1029572552, 674819.7206878045, 308435.0402015194, 111719.93814541945, 111719.93814541945]"
15,"[101325.1818973743, 101325.1818973743, 500.2298689476366, 684.8068870104671, 1422.1436919948144, 1255.6928685822386, 1066.1685430541258, 858.0572062886533, 858.0572062886533]","[101325.1818973743, 101325.1818973743, 522854.61170952604, 1316414.1163864718, 1224265.1282394188, 674819.7327863765, 308435.0450290021, 111719.9385390448, 111719.9385390448]"
16,"[101325.20685965968, 101325.20685965968, 500.22987646615485, 684.8068834204024, 1422.1436064045197, 1255.6927922463904, 1066.1684776977556, 858.0571513114573, 858.0571513114573]","[101325.20685965968, 101325.20685965968, 522854.65441019903, 1316414.1454357503, 1224265.1552552478, 674819.7457148843, 308435.05018777156, 111719.93895966209, 111719.93895966209]"
17,"[101325.23341958028, 101325.23341958028, 500.2298844652384, 684.8068795993829, 1422.1435153320488, 1255.69271102113, 1066.1684081552287, 858.0570928138444, 858.0570928138444]","[101325.23341958028, 101325.23341958028, 522854.6998418235, 1316414.1763374791, 1224265.1839938557, 674819.7594672897, 308435.0556750589, 111719.93940710186, 111719.93940710186]"
18,"[101325.26157592934, 101325.26157592934, 500.22989294589905, 684.806875550155, 1422.1434187907673, 1255.6926249183693, 1066.1683344367325, 858.0570308023423, 858.0570308023423]","[101325.26157592934, 101325.26157592934, 522854.7480066116, 1316414.20910492, 1224265.2144675758, 674819.7740506744, 308435.0614942027, 111719.93988155607, 111719.93988155607]"
19,"[101325.29132750034, 101325.29132750034, 500.22990190625177, 684.806871270047, 1422.1433167746122, 1255.6925339327106, 1066.1682565376575, 858.0569652753321, 858.0569652753321]","[101325.29132750034, 101325.29132750034, 522854.7988977672, 1316414.2437204444, 1224265.2466600135, 674819.7894558884, 308435.0676409843, 111719.94038276956, 111719.94038276956]"
20,"[101325.32267308698, 101325.32267308698, 500.22991134727914, 684.8068667617506, 1422.1432092967523, 1255.69243807589, 1066.1681744680416, 858.0568962392592, 858.0568962392592]","[101325.32267308698, 101325.32267308698, 522854.8525174122, 1316414.280197003, 1224265.2805832129, 674819.8056898493, 308435.07411866623, 111719.94091092967, 111719.94091092967]"
21,"[101325.3556114832, 101325.3556114832, 500.22992126771055, 684.8068620237426, 1422.143096355243, 1255.6923373461796, 1066.1680882264122, 858.0568236942312, 858.0568236942312]","[101325.3556114832, 101325.3556114832, 522854.90886066126, 1316414.318523518, 1224265.316226872, 674819.8227468506, 308435.08092463325, 111719.94146587625, 111719.94146587625]"
22,"[101325.39014148312, 101325.39014148312, 500.2299316675341, 684.8068570568545, 1422.1429779565801, 1255.6922317493695, 1066.1679978177242, 858.0567476438957, 858.0567476438957]","[101325.39014148312, 101325.39014148312, 522854.96792654326, 1316414.3587023315, 1224265.3535931683, 674819.8406282325, 308435.0880595506, 111719.94204764298, 111719.94204764298]"
23,"[101325.42626188119, 101325.42626188119, 500.22994254667856, 684.8068518618064, 1422.1428541068622, 1255.6921212908978, 1066.1679032466309, 858.0566680917321, 858.0566680917321]","[101325.42626188119, 101325.42626188119, 522855.02971390344, 1316414.4007351566, 1224265.3926836958, 674819.8593350113, 308435.09552393353, 111719.9426562549, 111719.9426562549]"
24,"[101325.46397147201, 101325.46397147201, 500.2299539039911, 684.8068464372952, 1422.1427248049324, 1255.6920059697375, 1066.1678045122594, 858.0565850381788, 858.0565850381788]","[101325.46397147201, 101325.46397147201, 522855.09421822376, 1316414.4446121708, 1224265.433489319, 674819.8788621364, 308435.1033154718, 111719.94329156965, 111719.94329156965]"
25,"[101325.50326905037, 101325.50326905037, 500.229965740279, 684.8068407856841, 1422.1425900627771, 1255.6918857965718, 1066.1677016237472, 858.056498489184, 858.056498489184]","[101325.50326905037, 101325.50326905037, 522855.161441081, 1316414.4903444517, 1224265.47602034, 674819.8992155436, 308435.1114369709, 111719.94395374756, 111719.94395374756]"
26,"[101325.54415341155, 101325.54415341155, 500.22997805374496, 684.8068349044646, 1422.1424498749168, 1255.6917607665223, 1066.167594576929, 858.0564084433735, 858.0564084433735]","[101325.54415341155, 101325.54415341155, 522855.2313759534, 1316414.5379153038, 1224265.5202612327, 674819.9203865706, 308435.1198844394, 111719.94464254707, 111719.94464254707]"
27,"[101325.58662335067, 101325.58662335067, 500.2299908451091, 684.8068287958362, 1422.14230425275, 1255.6916308897485, 1066.167483380494, 858.0563149064485, 858.0563149064485]","[101325.58662335067, 101325.58662335067, 522855.3040241467, 1316414.5873348736, 1224265.5662214325, 674819.942380663, 308435.12866045354, 111719.9453581149, 111719.9453581149]"
28,"[101325.63067766342, 101325.63067766342, 500.23000411324716, 684.8068224585489, 1422.1421531953104, 1255.6914961653938, 1066.1673680337155, 858.0562178789271, 858.0562178789271]","[101325.63067766342, 101325.63067766342, 522855.37938123324, 1316414.6385936455, 1224265.6138920905, 674819.9651929341, 308435.1377627804, 111719.94610031357, 111719.94610031357]"
29,"[101325.6763151456, 101325.6763151456, 500.2300178584697, 684.8068158940363, 1422.1419967112467, 1255.691356601167, 1066.1672485431877, 858.0561173653571, 858.0561173653571]","[101325.6763151456, 101325.6763151456, 522855.4574472451, 1316414.6916973945, 1224265.663278577, 674819.9888265298, 308435.1471929262, 111719.9468692263, 111719.9468692263]"
30,"[101325.72353459313, 101325.72353459313, 500.2300320801795, 684.8068091020339, 1422.1418348031245, 1255.6912121993576, 1066.167124910873, 858.0560133677369, 858.0560133677369]","[101325.72353459313, 101325.72353459313, 522855.5382193931, 1316414.7466422229, 1224265.7143772673, 674820.0132795152, 308435.1569500315, 111719.94766479693, 111719.94766479693]"
31,"[101325.77233480236, 101325.77233480236, 500.23004677789646, 684.8068020824959, 1422.1416674742918, 1255.6910629629529, 1066.1669971393299, 858.0559058883924, 858.0559058883924]","[101325.77233480236, 101325.77233480236, 522855.62169525214, 1316414.8034254783, 1224265.7671856948, 674820.0385506102, 308435.1670335417, 111719.9484869871, 111719.9484869871]"
32,"[101325.82271456977, 101325.82271456977, 500.2300619516681, 684.8067948363635, 1422.1414947316312, 1255.690908898088, 1066.1668652338078, 858.055794931131, 858.055794931131]","[101325.82271456977, 101325.82271456977, 522855.70787403773, 1316414.8620501338, 1224265.8217066245, 674820.0646414885, 308435.177444278, 111719.94933583963, 111719.94933583963]"
