,mass,true_airspeed,altitude,ground_distance,fuel_mass,time,DISA,engine_setting,mach,equivalent_airspeed,CL,CD,drag,thrust_rate,EM_power_rate,TP_power_rate,thrust_is_regulated,psfc,thrust,TPshaft_power,thermo_power,TP_residual_thrust,slope_angle,acceleration,TP_thermal_efficiency,TP_air_flow,TP_total_pressure,TP_total_temperature,CT,name,ceiling,max_mach,delta_time
0,23626.786438218212,60.0,10.668,0.0,0.762202166545289,60.0,0.0,1,0.17633868880182274,59.969279456360205,1.7717179284049978,0.12126126114298177,15858.161341943991,1.0,0.0,1.0,False,1.0338703303493353e-07,48603.32404610095,3686159.396254983,3686159.396254983,2586.402389409918,0.14132592002447183,0.0,,,,,,,,,2.0
1,23626.024236051668,60.04872197288404,27.570712657754477,118.80361233905889,1.5235111602015443,62.0,0.0,1,0.17651554440007836,59.969279456360205,1.7716607726319487,0.12125518253840256,15857.366401406163,1.0,0.0,1.0,False,1.0323563025178796e-07,48582.90265627781,3687239.530574135,3687239.530574135,2586.346686789077,0.14124577019001,0.0,,,,,,initial climb,,,2.0
2,23625.26292705801,60.0975142400868,44.477620997534046,237.7050525855807,2.283926335104488,64.0,0.0,1,0.17669268895264964,59.969279456360205,1.7716036838358638,0.12124911125664803,15856.572418524009,1.0,0.0,1.0,False,1.030847538804299e-07,48562.159873373035,3688300.8702963227,3688300.8702963227,2586.2738140906604,0.14116421851322916,0.0,,,,,,initial climb,,,2.0
3,23624.502511883107,60.14637646663392,61.38856240806123,356.70448507145204,3.0434470740929966,66.0,0.0,1,0.17687012136814476,59.969279456360205,1.771546662065174,0.12124304730216591,15855.779393879197,1.0,0.0,1.0,False,1.0293440475814409e-07,48541.096555135024,3689343.425908412,3689343.425908412,2586.18378546485,0.1410812685638288,0.0,,,,,,initial climb,,,2.0
4,23623.742991144118,60.19530831529519,78.30337416262527,475.80207342475114,3.802072788580297,68.0,0.0,1,0.17704784054610712,59.969279456360205,1.77148970736616,0.12123699067917534,15854.987328023486,1.0,0.0,1.0,False,1.02784583700228e-07,48519.71357269741,3690367.2086654436,3690367.2086654436,2586.076615796249,0.14099692397037233,0.0,,,,,,initial climb,,,2.0
5,23622.98436542963,60.244309446592766,95.22189342580887,594.9979805635245,4.559802918423258,70.0,0.0,1,0.17722584537703487,59.969279456360205,1.7714328197829579,0.12123094139166785,15854.196221478875,1.0,0.0,1.0,False,1.0263529149999846e-07,48498.01181050235,3691372.2305887938,3691372.2305887938,2585.9523207024513,0.14091118841996272,0.0,,,,,,initial climb,,,2.0
6,23622.226635299787,60.2933795188096,112.14395726022437,714.2923686895855,5.316522453421948,72.0,0.0,1,0.1774041347424019,59.969279456360205,1.7713759993575713,0.12122489944340818,15853.406074737712,1.0,0.0,1.0,False,1.0248652892880038e-07,48469.272719748835,3691800.0,3692358.504464259,2585.4524871891394,0.140795059380827,0.0,,,,,,initial climb,,,2.0
7,23621.46991576479,60.342508127601086,129.0659394788116,833.6858901762669,6.0721477247250295,74.0,0.0,1,0.17758267095111502,59.969279456360205,1.7713192547143495,0.12121886575071261,15852.617007632913,1.0,0.0,1.0,False,1.0233832700892264e-07,48435.32049648957,3691800.0,3693325.847803861,2584.673787962787,0.14065640761867007,0.0,,,,,,initial climb,,,2.0
8,23620.714290493484,60.39168751893062,145.98514239361967,953.1790436255167,6.8266830377684835,76.0,0.0,1,0.17776142591730862,59.969279456360205,1.771262592127423,0.12121284097989049,15851.829107302303,1.0,0.0,1.0,False,1.0219070819701145e-07,48401.31202789654,3691800.0,3694274.1458601933,2583.8910224030765,0.14051749261256014,0.0,,,,,,initial climb,,,2.0
9,23619.95975518044,60.440917627089796,162.90152144407446,1072.7719355771621,7.580132691225915,78.0,0.0,1,0.17794039948675383,59.969279456360205,1.7712060112739405,0.12120682509576138,15851.042369145078,1.0,0.0,1.0,False,1.0204367157720235e-07,48367.24728998797,3691800.0,3695203.440164417,2583.1041812619965,0.14037831429845676,0.0,,,,,,initial climb,,,2.0
