,TP_total_temperature,TP_total_pressure
0,"[101325.00000061248, 101325.00000061248, 500.2298141636635, 684.8069131754396, 1422.1443156966898, 1255.693424846364, 1066.169019310085, 858.0576069072605, 858.0576069072605]","[101325.00000061248, 101325.00000061248, 522854.3005631023, 1316413.904734572, 1224264.931403152, 674819.6385918934, 308435.00744417444, 111719.93547444395, 111719.93547444395]"
1,"[101325.00083763684, 101325.00083763684, 500.2298144154813, 684.8069130545165, 1422.144312824764, 1255.6934222849666, 1066.169017117099, 858.0576050629708, 858.0576050629708]","[101325.00083763684, 101325.00083763684, 522854.30199402175, 1316413.9057055486, 1224264.9323061602, 674819.6390237813, 308435.00761639944, 111719.93548850318, 111719.93548850318]"
2,"[101325.00325977127, 101325.00325977127, 500.2298151445331, 684.80691270526, 1422.144304516529, 1255.6934148750622, 1066.1690107729742, 858.0575997270676, 858.0575997270676]","[101325.00325977127, 101325.00325977127, 522854.3061358416, 1316413.9085190934, 1224264.9349227569, 674819.6402755466, 308435.00811570213, 111719.93552924176, 111719.93552924176]"
3,"[101325.00726585303, 101325.00726585303, 500.22981635122983, 684.8069121292614, 1422.1442907810763, 1255.693402624754, 1066.1690002846422, 858.057590904252, 858.057590904252]","[101325.00726585303, 101325.00726585303, 522854.31298894, 1316413.9131819725, 1224264.9392592344, 674819.6423508528, 308435.00894382794, 111719.93559675766, 111719.93559675766]"
4,"[101325.01285471953, 101325.01285471953, 500.22981803492894, 684.8069113261408, 1422.1442716204315, 1255.6933855358507, 1066.1689856536534, 858.0575785962626, 858.0575785962626]","[101325.01285471953, 101325.01285471953, 522854.32255041867, 1316413.9196897119, 1224264.945311432, 674819.6452474581, 308435.0100997729, 111719.93569098598, 111719.93569098598]"
5,"[101325.0200252082, 101325.0200252082, 500.22982019475296, 684.8069102950798, 1422.144247035046, 1255.693363608758, 1066.1689668803604, 858.0575628041782, 858.0575628041782]","[101325.0200252082, 101325.0200252082, 522854.3348166492, 1316413.9280353386, 1224264.953072865, 674819.6489618067, 308435.0115819221, 111719.93581182597, 111719.93581182597]"
6,"[101325.0287761569, 101325.0287761569, 500.2298228302937, 684.8069090361366, 1422.1442170285166, 1255.6933368466844, 1066.16894396751, 858.0575435303956, 858.0575435303956]","[101325.0287761569, 101325.0287761569, 522854.349785463, 1316413.938216881, 1224264.9625416994, 674819.6534929713, 308435.01338988414, 111719.93595924902, 111719.93595924902]"
7,"[101325.03910640343, 101325.03910640343, 500.2298259412304, 684.8069075495334, 1422.1441816050256, 1255.6933052533598, 1066.1689169182955, 858.0575207775578, 858.0575207775578]","[101325.03910640343, 101325.03910640343, 522854.36745496263, 1316413.9502332981, 1224264.9737169673, 674819.6588405141, 308435.0155234947, 111719.93613324001, 111719.93613324001]"
8,"[101325.05101478605, 101325.05101478605, 500.22982952773964, 684.8069058364224, 1422.1441407720897, 1255.6932688354846, 1066.1688857384495, 858.0574945497048, 858.0574945497048]","[101325.05101478605, 101325.05101478605, 522854.3878247982, 1316413.9640888534, 1224264.9866026337, 674819.6650067837, 308435.0179838876, 111719.93633386066, 111719.93633386066]"
9,"[101325.06450014298, 101325.06450014298, 500.2298335894428, 684.8069038969171, 1422.1440945335007, 1255.6932275964407, 1066.1688504308677, 858.0574648493157, 858.0574648493157]","[101325.06450014298, 101325.06450014298, 522854.4108928924, 1316413.979781888, 1224265.0011971558, 674819.6719910167, 308435.02077074733, 111719.93656108703, 111719.93656108703]"
