,mass,true_airspeed,altitude,ground_distance,fuel_mass,time,DISA,engine_setting,mach,equivalent_airspeed,CL,CD,drag,thrust_rate,EM_power_rate,TP_power_rate,thrust_is_regulated,psfc,thrust,TPshaft_power,thermo_power,TP_residual_thrust,H2_fc,slope_angle,acceleration,TP_thermal_efficiency,TP_air_flow,TP_total_pressure,TP_total_temperature,CT,name,ceiling,max_mach,delta_time,H2_mass
0,23560.6,60.0,10.668,0.0,0.4463024943607342,60.0,0.0,1,0.17633868880182274,59.969279456360205,1.7509013556019044,0.11890513009606783,15690.830650551203,1.0,0.0,1.0,False,6.203221982096012e-08,47548.04595411976,3597344.2160289474,3597344.2160289474,2530.2462759720142,0.053066210175565245,0.13787984578226972,0.0,,,,,,,,,2.0,0.10613242035113049
1,23560.047565085286,60.047540887955684,27.161207036332247,118.86115480533024,0.8920946707875956,62.0,0.0,1,0.17651125678806387,59.969279456360205,1.7508603015098594,0.11890081768276843,15690.261580514256,1.0,0.0,1.0,False,6.194357499068729e-08,47527.79404541545,3598373.0071591972,3598373.0071591972,2530.1527584971423,0.05300553240863041,0.13779788833611115,0.0,,,,,,initial climb,,,2.0,0.21214348516839132
2,23559.495761844042,60.09514675122832,43.65773310363507,237.81784143737138,1.3373761898528196,64.0,0.0,1,0.1766840927989478,59.969279456360205,1.750819294360503,0.11889651030342309,15689.693174762542,1.0,0.0,1.0,False,6.185523451145794e-08,47507.2419150799,3599384.2928745244,3599384.2928745244,2530.0431307299855,0.05294481428309278,0.1377146210415225,0.0,,,,,,initial climb,,,2.0,0.3180331137345769
3,23558.94459069641,60.14281726436755,60.15742455272793,356.87021157039896,1.7821467278530454,66.0,0.0,1,0.1768571957648439,59.969279456360205,1.7507783341850593,0.11889220796095805,15689.125433682193,1.0,0.0,1.0,False,6.176719882444684e-08,47486.390396343704,3600378.0846881308,3600378.0846881308,2529.917408135412,0.052884057668613704,0.13763004741555993,0.0,,,,,,initial climb,,,2.0,0.4238012290718043
4,23558.394052043073,60.19055209989513,76.66012765583,476.0184161908266,2.226405976737605,68.0,0.0,1,0.17703056460792158,59.969279456360205,1.7507374210133047,0.11888791065814748,15688.558357639298,1.0,0.0,1.0,False,6.167946835865378e-08,47465.24033434463,3601354.3947986164,3601354.3947986164,2529.7756068396898,0.05282326442632798,0.13754417102756553,0.0,,,,,,initial climb,,,2.0,0.5294477579244603
5,23557.844146265335,60.23835092831316,93.1656886127029,595.2626055916511,2.670153644035839,70.0,0.0,1,0.17720419824217146,59.969279456360205,1.7506965548735758,0.11888361839761444,15687.991946979997,1.0,0.0,1.0,False,6.15920435309108e-08,47443.79258605522,3602313.2360881376,3602313.2360881376,2529.61774362899,0.05276243640872785,0.13745699549885773,0.0,,,,,,initial climb,,,2.0,0.634972630741916
6,23557.29487372522,60.28621341811254,109.67395355679932,714.6029293669197,3.1133395466588216,72.0,0.0,1,0.17737809557342737,59.969279456360205,1.7506557357927768,0.11887933118183172,15687.4262020306,1.0,0.0,1.0,False,6.150492474589042e-08,47417.15370010482,3602848.91375788,3603254.6221205196,2529.182777888614,0.05269564152699914,0.13734733863371382,0.0,,,,,,initial climb,,,2.0,0.7403639137959143
7,23556.746296539543,60.33413188659969,126.18223818943666,834.0398861753745,3.5559000014131645,74.0,0.0,1,0.177552228790352,59.969279456360205,1.7506149683871055,0.11887504949526717,15686.861186721939,1.0,0.0,1.0,False,6.141812567609711e-08,47383.987788707025,3602848.91375788,3604178.4268856137,2528.39894168205,0.05262127459320316,0.1372094154853901,0.0,,,,,,initial climb,,,2.0,0.8456064629823206
8,23556.1984935356,60.38209657896472,142.68715805252776,953.574054940424,3.997837435471973,76.0,0.0,1,0.17772656252871682,59.969279456360205,1.7505742585145974,0.11887077395276507,15686.296982189426,1.0,0.0,1.0,False,6.133166344711557e-08,47350.770052222135,3602848.91375788,3605084.4977408233,2527.611274229237,0.05254719625487723,0.1370712535546692,0.0,,,,,,initial climb,,,2.0,0.9507008554920751
9,23555.651461709032,60.43010742377495,159.18867071071608,1073.2055325250353,4.4391542720728845,78.0,0.0,1,0.17790109660313994,59.969279456360205,1.7505336059519847,0.11886650453044759,15685.733585282116,1.0,0.0,1.0,False,6.12455375127853e-08,47317.500479374896,3602848.91375788,3605972.87454186,2526.8197676697127,0.05247340604408684,0.13693285282080953,0.0,,,,,,initial climb,,,2.0,1.0556476675802486
