,Unnamed: 0,mass,true_airspeed,altitude,ground_distance,alpha,time,engine_setting,mach,equivalent_airspeed,thrust_rate,thrust_is_regulated,psfc,thrust,TPshaft_power,TP_power_rate,thermo_power,TP_thermal_efficiency,TP_residual_thrust,TP_air_flow,CT,CL,CD,drag,slope_angle,acceleration,name,delta_time,fuel_mass,max_mach,EI_NOx,NOx_delta,NOx
0,0,22096.030721720534,0.001,0.0,0.0,-0.017453292519943295,0.0,1,2.9386244994912704e-06,0.001,1.0,False,9.195277605317812e-08,80376.69722903168,3602827.4331659065,0.9999940378871032,4168898.0963477455,0.2699636935245965,3355.000027772225,7.520800745684483,0.36107869537758464,0.8462812267275118,0.0729192601795517,2.6756538936071587e-06,0.0,3.59808127422952,,0.01,0.0033128998412015123,,0.003953617709544846,,
1,1,22096.027408820693,0.0369808127422952,0.0,1e-05,-0.017453292519943295,0.01,1,0.00010867272233560762,0.0369808127422952,1.0,False,9.195277589178356e-08,80357.25109064851,3602827.4331522877,0.9999940378833232,4168898.1249295487,0.26996113564173396,3354.458822885796,7.5208007588256445,0.36099133689534296,0.8462812267275118,0.0729192601795517,0.003659172119294351,0.0,3.597201660418192,take off,0.01,0.006625799676575733,,0.00395361770014545,1.3097939427944466e-05,1.3097939427944466e-05
2,2,22096.024095920853,0.07295282934647712,0.0,0.0003798081274229521,-0.017453292519943295,0.02,1,0.00021438097162476336,0.07295282934647712,1.0,False,9.195277542459338e-08,80337.80975938466,3602827.4331345414,0.9999940378783976,4168898.2076379634,0.26995857931939377,3353.917758199361,7.520800796868142,0.3609040000082704,0.8462812267275118,0.0729192601795517,0.014240138550507918,0.0,3.5963219650482414,take off,0.01,0.00993869949510158,,0.003953617672970531,1.3097939271304655e-05,2.619587869924912e-05
3,3,22096.02078302104,0.10891604899695954,0.0,0.0011093364208877234,-0.017453292519943295,0.03,1,0.0003200633699702569,0.10891604899695954,1.0,False,9.195277465149954e-08,80318.37323562856,3602827.4331590296,0.9999940378851944,4168898.3444332937,0.2699560245578449,3353.376833751252,7.520800859826582,0.3608166847181121,0.8462812267275118,0.0729192601795517,0.031740494772804016,0.0,3.5954421883564502,take off,0.009999999999999998,0.013251599285796709,,0.003953617628085715,1.3097939012573735e-05,3.929381771182286e-05
4,4,22096.01747012125,0.14487047088052404,0.0,0.0021984969108573187,-0.017453292519943295,0.04,1,0.00042571991498234463,0.14487047088052404,1.0,False,9.195277357285407e-08,80298.94151976737,3602827.433207927,0.9999940378987664,4168898.535275837,0.2699534713560442,3352.836049528225,7.520800947670057,0.36072939102660695,0.8462812267275118,0.0729192601795517,0.05615516122772733,0.0,3.59456233057951,take off,0.010000000000000002,0.01656449903767506,,0.003953617565483819,1.3097938651713239e-05,5.23917563635361e-05
5,5,22096.014157221492,0.18081609418631914,0.0,0.003647201619662559,-0.017453292519943295,0.05,1,0.0005313506042782383,0.18081609418631914,1.0,False,9.195277218911184e-08,80279.51461218699,3602827.433249113,0.999994037910198,4168898.780125885,0.2699509197126556,3352.295405505549,7.520801060357535,0.3606421189354889,0.8462812267275118,0.0729192601795517,0.08747905897575796,0.0,3.593682391954037,take off,0.010000000000000002,0.019877398739737446,,0.003953617485141466,1.3097938188593798e-05,6.54896945521299e-05
6,6,22096.010844321798,0.2167529181058595,0.0,0.00545536256152575,-0.017453292519943295,0.06000000000000001,1,0.0006369554354821036,0.2167529181058595,1.0,False,9.195277050052245e-08,80260.0925132721,3602827.433279047,0.9999940379185064,4168899.078943761,0.2699483696269277,3351.7549016814037,7.520801197868241,0.3605548684464858,0.8462812267275118,0.0729192601795517,0.12570710969896925,0.0,3.59280237271656,take off,0.010000000000000002,0.02319029838099039,,0.003953617387067672,1.3097937623267893e-05,7.85876321753978e-05
7,7,22096.007531422158,0.2526809418330251,0.0,0.007622891742584345,-0.017453292519943295,0.07,1,0.0007425344062250562,0.2526809418330251,1.0,False,9.195276850729742e-08,80240.67522340607,3602827.433299505,0.9999940379241844,4168899.4316897737,0.269945821098218,3351.2145380582183,7.520801360185177,0.3604676395613201,0.8462812267275118,0.0729192601795517,0.17083423570368314,0.0,3.5919222731035223,take off,0.010000000000000002,0.02650319795044969,,0.003953617271277484,1.3097936955822031e-05,9.168556913121984e-05
8,8,22096.004218522583,0.2886001645640603,0.0,0.010149701160914595,-0.017453292519943295,0.08,1,0.0008480875141451599,0.2886001645640603,1.0,False,9.195276620943076e-08,80221.26274297113,3602827.4333425695,0.9999940379361376,4168899.83832424,0.269943274126504,3350.6743146626927,7.520801547312825,0.3603804322817087,0.8462812267275118,0.0729192601795517,0.22285535992312272,0.0,3.5910420933512897,take off,0.009999999999999995,0.029816097437160412,,0.003953617137820307,1.3097936186535605e-05,0.00010478350531775544
9,9,22096.000905623096,0.3245105854975732,0.0,0.0130357028065552,-0.017453292519943295,0.09,1,0.000953614756887425,0.3245105854975732,1.0,False,9.195276360715944e-08,80201.85507234813,3602827.4334064717,0.9999940379538742,4168900.2988074855,0.26994072871107044,3350.134231494357,7.520801759231678,0.36029324660936257,0.8462812267275118,0.0729192601795517,0.28176540592006216,0.0,3.590161833696139,take off,0.009999999999999995,0.033128996830174555,,0.003953616986707182,1.309793531547263e-05,0.00011788144063322807
